doc_id,req_i_idx,req_j_idx,req_i,req_j,cosine_sim,final_verdict,conflict_type,notes
2004 - watcom,21,27,"Finally, the dynamic array  should be up dated (PLTGOT ).","Finally, the dynamic array  should be up dated (PLTRELSZ , PLTREL , and JMPREL).",0.845,,,
2004 - watcom gui,11,24,"In order to ask window manager to m inimize the window in GTK, gtk_window_minimize() should  be called.",To get the needed value (root window of a given widget)  gtk_widget_get_root_window()  should be called for a given widget.,0.558,,,
2004 - watcom gui,12,47,In the GTK gtk_widget_show()  and gtk_window_hide()   should  be used.,Should make the GtkHandl eBox  visible using gtk_widget_show()  Time needed for porting: 1 hour.,0.546,,,
2004 - watcom gui,10,20,"Whe n ported, this function should make a ca ll of gtk_window_new() , and apply parameters passe d in  info .","In GTK port, the function should cal l gtk_widget_destroy()  for the given window  or for the top- level windo w if NULL.",0.584,,,
2004 - watcom gui,57,95,gtk_widget_destroy()  applied to the  appropriate GtkMenuItem  should be used in  this function.,gtk_toggle_button_get_active()  should be used to perform the operation.,0.511,,,
2004 - watcom gui,77,78,gtk_window_get_size()  should be used to perform the operation.,gtk_window_set_icon()  should be used to perform the operation.,0.72,,,
2004 - watcom gui,1,68,Open Watcom  Linux Port Page 9  of 54  GUI Software Requirements Sp ecification     As long as  in Windows  and OS/2 en vironments user interface controls ar e placed acc ording to the specified  coor,Open Watcom  Linux Port Page 45  of 54  GUI Software Requirements Sp ecification     This function should be implemented using standa rd GtkFontSelectionDialog() .,0.754,,,
2004 - watcom gui,86,88,gtk_list_append_items()  function should be used to perform the ope ration.,gtk_list_insert_items()  function should be used to perform the ope ration.,0.892,,,
2004 - watcom gui,86,87,gtk_list_append_items()  function should be used to perform the ope ration.,gtk_list_append_items()  function should be used to perform the ope ration.,1.0,,,
2005 - clarus low,110,325,F-251 The Clarus  system shall accept  environmental data from (roadway) vehicles.,ID Requirement  Source Allocation -  QChS Comment Criticality  F-171 The Clarus  system shall be  able to base its quality checking process on historical environmental data.,0.61,,,
2005 - clarus low,419,426,Inferred from ConOps  §2.5.7     L  X-821 Traffic management  personnel shall be able to use the Clarus  system to  obtain environmental conditions.,OCS     H  X-921 The Clarus  program shall  maintain information about service providers.,0.613,,,
2005 - clarus low,89,218,OCS CS   M  F-205D1 CS shall be able to retrieve  remotely sensed environmental observations from data collectors.,"OCS QEDS, SS   H  D-051J1 QEDS shall disseminate  data in response to a scheduled environmental data request.",0.533,,,
2005 - clarus low,9,84,The Clarus   system should be a data collection system capable of handling a vast range of data  in a flexible manner that permits new data types to be added.,F-200 The Clarus  system shall be able to  detect data submission errors.,0.575,,,
2005 - clarus low,33,319,F-806 The Clarus  system shall  enable administrators to manage security groups.,F-163 The Clarus  system shall be  able to implement quality checking rules specific to observation locations.,0.513,,,
2005 - clarus low,252,429,"H-020 The Clarus  system shall  acquire, process, and disseminate environmental  data.",OCS     H  X-935 The Clarus  program shall  allow potential weather element data providers to request permission to submit weather information.,0.626,,,
2005 - clarus low,241,263,"MHI QEDS,  EMS   H  F-501J1 QEDS shall respond to  environmental data queries within one minute.",ID Requirement  Source Allocation -  QEDS Comment Criticality  I-021J1 QEDS shall respond to  environmental data queries selecting specific desired datasets.,0.59,,,
2005 - clarus low,355,389,D- 011A4 Clarus  hosts shall be able to  aggregate environmental data from other Clarus   hosts.,X- 20139 The contributors shall have  the right to use the Clarus   system data and information for purposes delineated within the Clarus  Data  Sharing Agreement.,0.555,,,
2005 - clarus low,217,246,ID Requirement  Source Allocation -  QEDS Comment Criticality  D-051 The Clarus  system shall  disseminate data in  response to a scheduled  request.,F-905 The Clarus  system shall log  data transactions.,0.525,,,
2005 - clarus low,194,250,Task Force     I-016 The Clarus  system shall  transfer data as efficiently as possible.,"H-012 The Clarus  system data  definitions shall be consistent with the ITE TM 1.03 standard, Functional Level Traffic Management Data Dictionary (TMDD).",0.538,,,
2005 - clarus low,190,389,H- 120F1 The EMS shall accept source  queries that consist of a list of Clarus  contributors.,X- 20139 The contributors shall have  the right to use the Clarus   system data and information for purposes delineated within the Clarus  Data  Sharing Agreement.,0.64,,,
2005 - clarus low,43,149,"H-120 The Clarus  system shall  acquire, process, and disseminate environmental metadata.",H  I-017D1 CS shall be able to extract  environmental data from an XML message that conforms to the Clarus  standard XML message  specification.,0.628,,,
2005 - clarus low,187,414,F-905 The Clarus  system shall log  data transactions.,"ID Requirement  Source Allocation Comment Criticality X-605 The Clarus  program shall  operate according to Government IT security requirements as outlined in OMB Circular A-130, Management of Federal",0.527,,,
2005 - clarus low,358,363,MHI     H  D-031 The Clarus  system shall use  software that implements industry accepted standard  interfaces.,OCS     H  X-801 The Clarus  program shall  alert users to system modifications.,0.587,,,
2005 - clarus low,54,220,"OCS QChS,  CAUI, QEDC   H  F-111C1 The CAUI shall enable a quality  manager to apply manual flags to a set of observations from an individual ESS.",OCS QEDS    H  D-061J1 QEDS shall disseminate  data in response to an immediate environmental data request.,0.517,,,
2005 - clarus low,317,383,ID Requirement  Source Allocation -  QChS Comment Criticality  F-162 The Clarus  system shall be  able to implement quality checking spatial tests using available data.,X- 20126 The contributors shall  inform the Clarus  program  of known error(s) and modifications in its data and information.,0.512,,,
2005 - clarus low,194,288,Task Force     I-016 The Clarus  system shall  transfer data as efficiently as possible.,P-025 The Clarus  system shall  respond to a request for information within one minute.,0.648,,,
2005 - clarus low,194,428,Task Force     I-016 The Clarus  system shall  transfer data as efficiently as possible.,OCS     M  X-931 The Clarus  program shall  maintain information about service provider access to data.,0.634,,,
2005 - clarus low,275,354,MHI     H  I-028J1 QEDS shall accept source  queries that consist of a list of Clarus  contributors.,D- 011A3 The Clarus  system shall  allocate each contributor to a specific host.,0.576,,,
2005 - clarus low,257,404,I-017 The Clarus  system shall  employ industry standards to minimize implementation impact to users and providers.,ConOps §3.3.1     H  X-232 The Clarus  program shall  define quality checking rules for environmental observations.,0.515,,,
2005 - clarus low,354,410,D- 011A3 The Clarus  system shall  allocate each contributor to a specific host.,Inferred from ConOps  §4.3     M  X-305 The Clarus  program shall  maintain a comprehensive Clarus  system test  environment.,0.591,,,
2005 - clarus low,262,384,I-021 The Clarus  system shall  allow service providers to select specific desired datasets.,X- 20127 The Clarus  program shall  determine its redistribution of shared data from contributors based upon Clarus  Data Sharing  Agreements.,0.605,,,
2005 - clarus low,88,286,F-205 The Clarus  system shall be able to  access remotely sensed environmental observations from data collectors.,P-024 The Clarus  system shall be  able to publish new data within twenty minutes of data receipt.,0.626,,,
2005 - clarus low,240,414,F-501 The Clarus  system shall  minimize the time for data dissemination.,"ID Requirement  Source Allocation Comment Criticality X-605 The Clarus  program shall  operate according to Government IT security requirements as outlined in OMB Circular A-130, Management of Federal",0.59,,,
2005 - clarus low,92,414,F-213 The Clarus  system shall allow  access to new surface transportation-related observed environmental data.,"ID Requirement  Source Allocation Comment Criticality X-605 The Clarus  program shall  operate according to Government IT security requirements as outlined in OMB Circular A-130, Management of Federal",0.523,,,
2005 - clarus low,239,271,"ID Requirement  Source Allocation -  QEDS Comment Criticality  F-219J1 QEDS shall be able to  disseminate NWS watches, warnings, and advisories.",ID Requirement  Source Allocation -  QEDS Comment Criticality  I-026J2 QEDS shall accept location  queries based on a latitude/longitude location and radius.,0.577,,,
2005 - clarus low,231,368,ID Requirement  Source Allocation -  QEDS Comment Criticality  F-115 The Clarus  system shall  provide notification of data quality conditions to data contributors.,MHI     H  Q-013 The Clarus  system shall be  able to respond to 95% of all requests for environmental data 95% of the time.,0.568,,,
2005 - clarus low,90,190,F-211 The Clarus  system shall be able to  receive roadway weather measurements derived from VII data.,H- 120F1 The EMS shall accept source  queries that consist of a list of Clarus  contributors.,0.544,,,
2005 - clarus low,303,305,F-121 The Clarus  system shall  detect out of range values.,F-121H2 QChS algorithms shall use  climate records for range checking bounds.,0.514,,,
2005 - clarus low,25,408,F-163 The Clarus  system shall be  able to implement quality checking rules specific to observation locations.,ID Requirement  Source Allocation Comment Criticality X-237 The Clarus  program  standards shall accommodate contributions of new sensor technologies to the Clarus  system.,0.613,,,
2005 - clarus low,30,36,M  F- 175B1 The CAS shall be able to  configure multiple algorithms to be used in the quality checking process.,F- 806B3 The CAS shall have a quality  manager security group.,0.527,,,
2005 - clarus low,24,254,H  F- 161B1 The CAS shall be able to  configure quality checking  rules for specific environmental situations.,"ConOps §3.4.2,  amended in Task Force review CS, QChS,  QEDS North America in this context includes the  United States, it territories, Canada, and Mexico H  H-301J1 QEDS shall be able to  disseminate",0.501,,,
2005 - clarus low,16,262,ID Requirement  Source Allocation  - CAS Comment Criticality F-101 The Clarus  system shall  implement quality checking processes as soon as data become available.,I-021 The Clarus  system shall  allow service providers to select specific desired datasets.,0.537,,,
2005 - clarus low,58,238,F-141 The Clarus  system shall allow  human quality checks of environmental data.,"F-219 The Clarus  system shall  disseminate NWS watches, warnings, and advisories.",0.599,,,
2005 - clarus low,219,426,D-061 The Clarus  system shall  disseminate environmental data in response to polling.,OCS     H  X-921 The Clarus  program shall  maintain information about service providers.,0.525,,,
2005 - clarus low,182,211,L  F-213F1 The Clarus  system shall allow  new EMS to be implemented that disseminate new observation types to be implemented as they become available.,I-021 The Clarus  system shall  allow service providers to select specific desired data sets.,0.603,,,
2005 - clarus low,25,407,F-163 The Clarus  system shall be  able to implement quality checking rules specific to observation locations.,"OCS   That is, the Clarus  program needs to  provide documentation of whatever standards it creates for its own development, deployment, management, and operations.",0.521,,,
2005 - clarus low,340,427,P-024 The Clarus  system shall be  able to publish new data within twenty minutes of data receipt.,OCS     H  X-925 The Clarus  program shall  maintain information about service provider communications.,0.568,,,
2005 - clarus low,250,301,"H-012 The Clarus  system data  definitions shall be consistent with the ITE TM 1.03 standard, Functional Level Traffic Management Data Dictionary (TMDD).",F-115 The Clarus  system shall  provide notification of data quality conditions to data contributors.,0.553,,,
2005 - clarus low,31,402,F-213 The Clarus  system shall  allow access to new surface transportation-related environmental data.,9)     H  X-221 The Clarus  program shall  provide for customer service.,0.59,,,
2005 - clarus low,303,412,F-121 The Clarus  system shall  detect out of range values.,OCS     H  X-315 The Clarus  program shall  test all hardware changes in the designated test environment before deployment to production.,0.505,,,
2005 - clarus low,246,303,F-905 The Clarus  system shall log  data transactions.,F-121 The Clarus  system shall  detect out of range values.,0.531,,,
2005 - clarus low,329,400,F-213 The Clarus  system shall  allow access to new  surface transportation related observed environmental data.,MHI     H  X-211 The Clarus  program shall  provide network management tools.,0.524,,,
2005 - clarus low,393,413,"ID Requirement  Source Allocation Comment Criticality X- 20149 The contributors shall  provide the Clarus  program  with a timely notice of their intent to change, alter, replace, or eliminate any sha",OCS     H  X-601 The Clarus  program shall  operate the Clarus  system  according to its published IT  Security Plan.,0.553,,,
2005 - clarus low,9,94,The Clarus   system should be a data collection system capable of handling a vast range of data  in a flexible manner that permits new data types to be added.,ID Requirement  Source Allocation -  CS Comment Criticality F-214 The Clarus  system shall accept  environmental data derived from images.,0.506,,,
2005 - clarus low,211,329,I-021 The Clarus  system shall  allow service providers to select specific desired data sets.,F-213 The Clarus  system shall  allow access to new  surface transportation related observed environmental data.,0.643,,,
2005 - clarus low,304,324,H  F-121H1 QChS algorithms shall use  sensor range metadata for range checking bounds.,H  F-166H1 QChS shall be able to base  its quality checking process on values distributed in time.,0.592,,,
2005 - clarus low,236,354,F-213 The Clarus  system shall  allow access to new surface transportation related observed environmental data.,D- 011A3 The Clarus  system shall  allocate each contributor to a specific host.,0.565,,,
2005 - clarus low,410,429,Inferred from ConOps  §4.3     M  X-305 The Clarus  program shall  maintain a comprehensive Clarus  system test  environment.,OCS     H  X-935 The Clarus  program shall  allow potential weather element data providers to request permission to submit weather information.,0.504,,,
2005 - clarus low,328,347,M  F-175H1 QChS shall be  implemented for each defined standard quality checking algorithm.,"MHI CS, QEDS,  EMS, QChS, CAS, SS, DOG   H  F- 905K1 The SS shall record when it  initiates actions.",0.513,,,
2005 - clarus low,211,313,I-021 The Clarus  system shall  allow service providers to select specific desired data sets.,F-155 The Clarus  system shall be  able to implement quality checking rules for each environmental parameter.,0.547,,,
2005 - clarus low,364,399,H  P-011 The Clarus  system shall be  able to publish environmental data at three times the volume rate that it collects it.,MHI     H  X-209 The Clarus  program shall  provide an environment that has redundant communication for the  Clarus  system.,0.533,,,
2005 - clarus low,213,357,I-022 The Clarus  system shall  respond to queries for environmental data from the  available data.,D-021 The Clarus  system shall use  hardware that implements industry accepted standard interfaces.,0.583,,,
2005 - clarus low,16,407,ID Requirement  Source Allocation  - CAS Comment Criticality F-101 The Clarus  system shall  implement quality checking processes as soon as data become available.,"OCS   That is, the Clarus  program needs to  provide documentation of whatever standards it creates for its own development, deployment, management, and operations.",0.541,,,
2005 - clarus low,63,226,F-806 The Clarus  system shall enable  administrators to manage security groups.,D-091 The Clarus  system shall  disseminate data using standard Internet protocols.,0.513,,,
2005 - clarus low,65,78,"H-120 The Clarus  system shall acquire,  process, and disseminate environmental metadata.",H  F-100D1 CS shall collect environmental  data based on its configured schedule.,0.563,,,
2005 - clarus low,149,269,H  I-017D1 CS shall be able to extract  environmental data from an XML message that conforms to the Clarus  standard XML message  specification.,I-026 The Clarus  system shall  enable environmental data queries by location reference.,0.61,,,
2005 - clarus low,264,356,I-022 The Clarus  system shall  respond to queries for environmental data from the available data.,D- 011A5 Clarus  hosts shall be able to  distribute queries to other Clarus  hosts.,0.588,,,
2005 - clarus low,41,262,F-905 The Clarus  system shall log  data transactions.,I-021 The Clarus  system shall  allow service providers to select specific desired datasets.,0.567,,,
2005 - clarus low,230,260,F-100J2 QEDS shall be able to  disseminate environmental data in English units.,I-017J3 QEDS shall be able to  disseminate environmental data in CMML version 2 format.,0.597,,,
2005 - clarus low,102,212,"ConOps  §3.4.3 CS, QChS   H  F-223D1 CS shall process environmental  data as they are received.","ConOps §3.5.1.4 QEDS,  QEDC   H  I-021I1 The QEDC shall support  queries for its observations.",0.618,,,
2005 - clarus low,401,427,H  X-215 The Clarus  program shall  provide setup support.,OCS     H  X-925 The Clarus  program shall  maintain information about service provider communications.,0.58,,,
2005 - clarus low,98,369,"Task Force  review CS Changed from ""The Clarus  system shall  be able to retrieve environmental data directly from environmental sensor stations."" L  F-221D1 CS shall be able to retrieve  environmenta",MHI     H  X-201 The Clarus  program shall  establish data sharing agreements with all participating sources of environmental data.,0.579,,,
2005 - clarus low,348,412,I-016 The Clarus  system shall  transfer data as efficiently as possible.,OCS     H  X-315 The Clarus  program shall  test all hardware changes in the designated test environment before deployment to production.,0.501,,,
2005 - clarus low,2,298,"Surface transportation  environmental data collected by the Clarus  system will include atmospheric data,  pavement data 1, and hydrologic (water level) data.",F-111 The Clarus  system shall  provide environmental data quality flags.,0.593,,,
2005 - clarus low,226,413,D-091 The Clarus  system shall  disseminate data using standard Internet protocols.,OCS     H  X-601 The Clarus  program shall  operate the Clarus  system  according to its published IT  Security Plan.,0.636,,,
2005 - clarus low,24,334,H  F- 161B1 The CAS shall be able to  configure quality checking  rules for specific environmental situations.,"MHI CS, QEDS,  EMS, QChS, CAS, SS, DOG   H  F-905H1 QChS shall log quality  checking activity.",0.52,,,
2005 - clarus low,49,353,Task Force     I-032 The Clarus  system shall  manage environmental data and metadata according to the Clarus  data sharing  agreements.,D- 011A2 The Clarus  system shall  allocate each collector to a specific host.,0.511,,,
2005 - clarus low,117,155,H  F-271D1 CS shall accept environmental  data collected from transit vehicles.,ID Requirement  Source Allocation -  DOG Comment Criticality F-213 The Clarus  system shall allow  access to new surface transportation related observed  environmental data.,0.519,,,
2005 - clarus low,419,429,Inferred from ConOps  §2.5.7     L  X-821 Traffic management  personnel shall be able to use the Clarus  system to  obtain environmental conditions.,OCS     H  X-935 The Clarus  program shall  allow potential weather element data providers to request permission to submit weather information.,0.62,,,
2005 - clarus low,192,263,ID Requirement  Source Allocation  - EMS Comment Criticality H- 120F3 The EMS shall accept location  queries based on a bounding latitude/longitude coordinate pair.,ID Requirement  Source Allocation -  QEDS Comment Criticality  I-021J1 QEDS shall respond to  environmental data queries selecting specific desired datasets.,0.613,,,
2005 - clarus low,211,413,I-021 The Clarus  system shall  allow service providers to select specific desired data sets.,OCS     H  X-601 The Clarus  program shall  operate the Clarus  system  according to its published IT  Security Plan.,0.585,,,
2005 - clarus low,201,379,Task Force     P-025 The Clarus  system shall  respond to a request for information within five minutes.,X- 20119 The Clarus  program shall  provide data and information statistics on its operation to contributors.,0.622,,,
2005 - clarus low,2,416,"Surface transportation  environmental data collected by the Clarus  system will include atmospheric data,  pavement data 1, and hydrologic (water level) data.",Contract     H  X-805 Weather service providers  shall be able to use Clarus   data to provide localized special weather products.,0.648,,,
2005 - clarus low,3,5,"First, the participants will be able to share  collected environmental data  with Clarus .","The Clarus  system will add a third mode of functionality, which might be called  “meta-librarian.” The Clarus  system will collect, organize, and quality check the  environmental data to be published",0.607,,,
2005 - clarus low,96,127,H  F-214D2 CS shall accept atmospheric  condition data derived from atmospheric images.,"Task Force  review CS, QEDS   H  H- 012D1 CS shall accept environmental  data described by definitions defined by the TMDD.",0.531,,,
2005 - clarus low,294,405,F-101 The Clarus  system shall  implement quality checking processes as soon as data become available.,H  X-233 The Clarus  program shall  define data retention standards.,0.61,,,
2005 - clarus low,16,41,ID Requirement  Source Allocation  - CAS Comment Criticality F-101 The Clarus  system shall  implement quality checking processes as soon as data become available.,F-905 The Clarus  system shall log  data transactions.,0.521,,,
2005 - clarus low,140,355,I-013 The Clarus  system shall be able to  communicate with RWIS databases through their native interfaces.,D- 011A4 Clarus  hosts shall be able to  aggregate environmental data from other Clarus   hosts.,0.52,,,
2005 - clarus low,160,294,MHI DOG   H  Q- 012G1 The watchdog service shall  monitor the overall Clarus   system state.,F-101 The Clarus  system shall  implement quality checking processes as soon as data become available.,0.534,,,
2005 - clarus low,272,348,I-027 The Clarus  system shall  enable environmental data queries by quality.,I-016 The Clarus  system shall  transfer data as efficiently as possible.,0.627,,,
2005 - clarus low,248,420,ID Requirement  Source Allocation -  QEDS Comment Criticality  H-011 The Clarus  system baseline  data types shall be defined by the NTCIP ESS 1204 standard.,Inferred from ConOps  §2.5.3     L  X-823 Transit personnel shall be  able to use the Clarus   system to obtain environmental conditions.,0.535,,,
2005 - clarus low,212,291,"ConOps §3.5.1.4 QEDS,  QEDC   H  I-021I1 The QEDC shall support  queries for its observations.",H  P-031J1 QEDS shall be able to  respond to three hundred simultaneous queries.,0.545,,,
2005 - clarus low,213,276,I-022 The Clarus  system shall  respond to queries for environmental data from the  available data.,I-028J2 QEDS shall accept source  queries that are a list of Clarus  contributors  combined with a station identifier.,0.649,,,
2005 - clarus low,31,432,F-213 The Clarus  system shall  allow access to new surface transportation-related environmental data.,Sensor Range Test  The Clarus  range test will flag any observation that lies outside of the pre- determined range threshold values as “f ailed”.,0.502,,,
2005 - clarus low,175,423,I-017 The Clarus  system shall  employ industry standards to minimize implementation impact to users and providers.,Inferred from ConOps  §2.5.6     L  X-905 The Clarus  program shall  maintain information about data providers.,0.579,,,
2005 - clarus low,109,409,ConOps  §2.5.7 CS   H  F-245D1 CS shall accept environmental  data derived from railroad vehicle data.,Inferred from ConOps §1     M  X-239 The Clarus  program  standards shall support multiple methods of data  delivery to users.,0.572,,,
2005 - clarus low,65,404,"H-120 The Clarus  system shall acquire,  process, and disseminate environmental metadata.",ConOps §3.3.1     H  X-232 The Clarus  program shall  define quality checking rules for environmental observations.,0.58,,,
2005 - clarus low,206,229,L  F-213I1 The QEDC shall be  configurable to allow new  observation types to be  implemented as they become available.,H  F-100J1 QEDS shall disseminate  environmental data.,0.502,,,
2005 - clarus low,68,402,ID Requirement  Source Allocation -  CAUI Comment Criticality I-031 The Clarus  system shall provide a  user interface for administration.,9)     H  X-221 The Clarus  program shall  provide for customer service.,0.52,,,
2005 - clarus low,26,321,H  F- 163B1 The CAS shall be able to  configure quality checking rules specific to observation locations.,F-165 The Clarus  system shall be  able to base its quality  checking process on values from multiple observations.ConOps §3.5.1.4   Example – variable-specific and like  instrument tests.,0.573,,,
