doc_id,req_i_idx,req_j_idx,req_i,req_j,cosine_sim,final_verdict,conflict_type,notes
2001 - elsfork,65,73,The values shall be available for display on operator HMI as well as for stor- age (databases).,Counters  shall be available for display on operator HMI as  well as for storage (databases).,0.744,YES,OVERLAP,Confidence: 0.90 | Requirement A specifies that 'the values' shall be available for display and storage. Requirement B 
2001 - elsfork,16,65,The values shall be available for display on ope rator HMI as well as for storage (databases).,The values shall be available for display on operator HMI as well as for stor- age (databases).,0.792,YES,OVERLAP,Confidence: 1.00 | Both Requirement A and Requirement B describe precisely the same functionality: that 'values' shall 
2001 - elsfork,16,58,The values shall be available for display on ope rator HMI as well as for storage (databases).,The values shall be ava ilable for display on operator HMI as well as for  storage (databases).,0.826,YES,OVERLAP,Confidence: 1.00 | Both Requirement A and Requirement B specify the exact same core functionality: that 'values' shall 
2001 - elsfork,83,87,Transfer of data  in the buffers shall be carried out without syn- chronism with real-time.,Transfer of data in  the buffers shall be carried out without synchronism with real-time.,0.902,YES,OVERLAP,Confidence: 1.00 | The two requirements are identical in both wording and semantic meaning. They describe the exact sam
2002 - sce api,10,32,These two macros are mutually associated by the  ClockNum  parameter and every SceMiClockPort  macro must have a minimum of one  SceMiClockControl  macro associated with it.,"During the assertion of Creset , Cclock  edges shall be forced regardless of the state of the  ReadyForCclock  inputs to the SceMiClockControl  macros.",0.542,NO,NONE,Confidence: 1.00 | Requirement A defines structural associations and cardinality rules for `SceMiClockPort` and `SceMiC
2002 - sce api,64,78,"4.3.3.3 Shutdown static void SceMi::Shutdown( SceMi *sceMi, SceMiEC *ec=NULL ); This is the destructor of the SCE-MI infrastructure object that must be called when connection to the  interface is to b",Destruction of all message input ports shall automatically  occur when the SceMi::ShutDown()  function is called.,0.693,NO,NONE,Confidence: 1.00 | Requirement A defines the SceMi::Shutdown function as the destructor for the SCE-MI infrastructure o
2002 - sce api,9,10,"This  SceMiClockPort  macro instance will, via a set of parameters, fully characterize a particular clock.",These two macros are mutually associated by the  ClockNum  parameter and every SceMiClockPort  macro must have a minimum of one  SceMiClockControl  macro associated with it.,0.792,NO,NONE,Confidence: 1.00 | Requirement A describes the functionality of the 'SceMiClockPort' macro (characterizing a clock). Re
2002 - sce api,10,37,These two macros are mutually associated by the  ClockNum  parameter and every SceMiClockPort  macro must have a minimum of one  SceMiClockControl  macro associated with it.,Multi-Clock Alignment 4.1.5SceMiClockControl  Macro For every SceMiClockPort  macro instance there must be at least one counterpart SceMiClockControl   macro instance presumably encapsulated in a tran,0.824,YES,OVERLAP,Confidence: 1.00 | Both Requirement A (specifically its second clause: 'every SceMiClockPort macro must have a minimum 
2002 - sce api,43,45,"In reacting to a ReadyForCclock of a  slower clock, the infrastructure must not prematurely disable posedges of other faster clocks that occur prior to the last possible uclock preceding the edge to b","In reacting to a  ReadyForCclockNegEdge of a slower clock, the infrastructure must not prematurely  disable negedges of other faster clocks that occur prior to the last possible uclock preceding the e",0.96,NO,NONE,Confidence: 0.95 | Requirement A specifies a constraint regarding the disabling of 'posedges' (positive edges) of faste
2003 - pnnl,49,52,Sensed and fixed data used by the tool in performing automated diagnostics shall be stored to  permanent storage for post -analysis by the diagnostic process and viewing of the results.,"Automated  Diagnostics    Version:           1.1   Software Requirements Specification    Date:  8/28/2003   Software Requirements Specification 1 -1.DOC   8/29/2003      Battelle Northwest, 2003  Pag",0.538,NO,NONE,Confidence: 1.00 | Requirement A defines a functional requirement for the system: storing sensed and fixed diagnostic d
2003 - pnnl,100,101,3.2.4  Output Processing   The automated diagnostic tool shall display and record diagnostic results.,"Diagnostic results to  be displayed to the user will be done so in a simple, g raphical and textual format.",0.605,NO,NONE,Confidence: 1.00 | Requirement A establishes that the diagnostic tool shall display and record diagnostic results. Requ
2003 - pnnl,68,72,3.2.2.8  Sensed data input to the tool shall be validated with respect to its expected  range of values.,Physical  Parameter  Engineering  Units for  Sensed Data   Temperature  Degrees F   Current  Amps     3.2.2.11  The tool shall associate with each continuous parameter one or more tolerances each  cor,0.524,NO,NONE,Confidence: 1.00 | Requirement A specifies that sensed data must be validated against its expected range of values. Req
2003 - pnnl,54,55,The file shall be an ASCII text file  containing only columns delimited by a single ta b character or single comma.,The file shall begin with a  required header.,0.571,NO,NONE,"Confidence: 0.95 | Requirement A defines the general content and formatting rules for the file (ASCII, column-delimited"
2003 - pnnl,6,97,The tool will store the results of diagnostics for subsequent  retrieval and use.,"3.2.3.6  The tool shall monitor the  unit under diagnosis, either in real time or batch mode, for an indefinite  period of time or until input data are no longer available, and log diagnostic results ",0.576,YES,OVERLAP,Confidence: 1.00 | Requirement A specifies that the tool will 'store the results of diagnostics for subsequent retrieva
2003 - pnnl,93,184,"The  cooling tower fan may  be off when the  condenser pump is  running, but this should  not always be the case.","If the CT Fans Status = ""On"" and the Condenser Pumps Status = ""On,"" then CT Fans/Condenser Pumps Interlock OK/Not = ""OK"" If the CT Fans Status = ""Off"" and the Condenser Pumps Status = ""Off,"" then CT F",0.627,NO,NONE,"Confidence: 0.60 | Requirement B is incomplete, making a full conflict analysis impossible. The provided text for Requi"
2003 - pnnl,119,146,"3.5.1.1  The user interface shall consist of six windows:  Main window, configuration window, subsystems  window, condition window, diagnostic information window, and diag nostic history window.",3.5.1.17  The subsystems  window shall list subsystems monitored for a specific building and  summarizing the current diagnostic status of all monitored subsystems.,0.552,NO,NONE,"Confidence: 1.00 | Requirement A specifies the existence and names of six top-level user interface windows, including a"
2003 - pnnl,93,180,"The  cooling tower fan may  be off when the  condenser pump is  running, but this should  not always be the case.",The CHW Pumps should not operate unless at least one of the supply fans in an air handler served by these CHW Pumps is on.,0.573,NO,NONE,Confidence: 1.00 | Requirement A specifies operational constraints for a cooling tower fan relative to a condenser pump
2003 - pnnl,6,7,The tool will store the results of diagnostics for subsequent  retrieval and use.,The tool will automate  diagnostic processes hitherto performed through a visual analysis of graphical data by a human expert.,0.595,NO,NONE,Confidence: 1.00 | Requirement A specifies the storage and retrieval of diagnostic results. Requirement B specifies the
2003 - pnnl,91,183,Secondary chilled water  pumps should only  operate when the primary  CHW pump is operating.,The set of primary CHW pump should not operate unless at least one of the secondary CHW pumps served by this set of primary CHW pumps is on.,0.741,YES,CONTRADICTION,Confidence: 1.00 | Requirement A states: 'Secondary chilled water pumps should only operate when the primary CHW pump i
2003 - pnnl,96,105,"Automated  Diagnostics    Version:           1.1   Software Requirements Specification    Date:  8/28/2003   Software Requirements Specification 1 -1.DOC   8/29/2003      Battelle Northwest, 2003  Pag","Automated  Diagnostics    Version:           1.1   Software Requirements Specification    Date:  8/28/2003   Software Requirements Specification 1 -1.DOC   8/29/2003      Battelle Northwest, 2003  Pag",0.766,YES,OVERLAP,Confidence: 1.00 | Both Requirement A and Requirement B are identical text strings. They describe the exact same inform
2003 - pnnl,146,172,3.5.1.17  The subsystems  window shall list subsystems monitored for a specific building and  summarizing the current diagnostic status of all monitored subsystems.,3.5.1.39  The diagnostic indicators on the main window and subsystems window shall summarize  all diagnostic conditions associated with each entry in the window.,0.821,YES,OVERLAP,Confidence: 0.90 | Both Requirement A and Requirement B mandate the display of summarized diagnostic information on the
2003 - pnnl,83,91,Secondary  chilled water pumps should  only operate when the  primary CHW pump is  operating.,Secondary chilled water  pumps should only  operate when the primary  CHW pump is operating.,1.0,YES,OVERLAP,Confidence: 1.00 | Both Requirement A and Requirement B are identical in their wording and semantic meaning. They descr
2004 - watcom,6,20,"No te that cod e  gene rator should creat e the undefined symbol _GLOB AL_OFFSET_ TABLE_ , if R_386_GOTPC   encountere d.","At th is tim e,  _GLOB AL_OFFSET_ TABLE_  sym bol should be defined  as well.",0.585,YES,OVERLAP,"Confidence: 0.95 | Requirement A states that if `R_386_GOTPC` is encountered, the code generator should *not* create `_"
2004 - watcom,21,27,"Finally, the dynamic array  should be up dated (PLTGOT ).","Finally, the dynamic array  should be up dated (PLTRELSZ , PLTREL , and JMPREL).",0.845,NO,NONE,Confidence: 1.00 | Both requirements state that a dynamic array should be updated. Requirement A specifies `PLTGOT` as 
2004 - watcom gui,11,24,"In order to ask window manager to m inimize the window in GTK, gtk_window_minimize() should  be called.",To get the needed value (root window of a given widget)  gtk_widget_get_root_window()  should be called for a given widget.,0.558,NO,NONE,Confidence: 1.00 | Requirement A describes the action of minimizing a GTK window using `gtk_window_minimize()`. Require
2004 - watcom gui,12,47,In the GTK gtk_widget_show()  and gtk_window_hide()   should  be used.,Should make the GtkHandl eBox  visible using gtk_widget_show()  Time needed for porting: 1 hour.,0.546,NO,NONE,Confidence: 0.95 | Requirement A makes a general statement that `gtk_widget_show()` and `gtk_window_hide()` 'should be 
2004 - watcom gui,10,20,"Whe n ported, this function should make a ca ll of gtk_window_new() , and apply parameters passe d in  info .","In GTK port, the function should cal l gtk_widget_destroy()  for the given window  or for the top- level windo w if NULL.",0.584,NO,NONE,"Confidence: 1.00 | Requirement A specifies the creation of a new GTK window, while Requirement B specifies the destruct"
2004 - watcom gui,57,95,gtk_widget_destroy()  applied to the  appropriate GtkMenuItem  should be used in  this function.,gtk_toggle_button_get_active()  should be used to perform the operation.,0.511,NO,NONE,Confidence: 1.00 | Requirement A specifies the use of `gtk_widget_destroy()` on a `GtkMenuItem` to remove it from the U
2004 - watcom gui,77,78,gtk_window_get_size()  should be used to perform the operation.,gtk_window_set_icon()  should be used to perform the operation.,0.72,NO,NONE,Confidence: 1.00 | Requirement A specifies using `gtk_window_get_size()` which retrieves the dimensions of a GTK window
2004 - watcom gui,1,68,Open Watcom  Linux Port Page 9  of 54  GUI Software Requirements Sp ecification     As long as  in Windows  and OS/2 en vironments user interface controls ar e placed acc ording to the specified  coor,Open Watcom  Linux Port Page 45  of 54  GUI Software Requirements Sp ecification     This function should be implemented using standa rd GtkFontSelectionDialog() .,0.754,NO,NONE,Confidence: 0.95 | Requirement A discusses GUI control placement within 'Windows and OS/2 environments'. Requirement B 
2004 - watcom gui,86,88,gtk_list_append_items()  function should be used to perform the ope ration.,gtk_list_insert_items()  function should be used to perform the ope ration.,0.892,YES,CONTRADICTION,Confidence: 1.00 | Both requirements specify a *different* GTK function that *should be used* for 'the operation'. `gtk
2004 - watcom gui,86,87,gtk_list_append_items()  function should be used to perform the ope ration.,gtk_list_append_items()  function should be used to perform the ope ration.,1.0,YES,OVERLAP,Confidence: 1.00 | Both Requirement A and Requirement B are identical in their wording and the functionality they descr
2005 - clarus low,110,325,F-251 The Clarus  system shall accept  environmental data from (roadway) vehicles.,ID Requirement  Source Allocation -  QChS Comment Criticality  F-171 The Clarus  system shall be  able to base its quality checking process on historical environmental data.,0.61,NO,NONE,Confidence: 1.00 | Requirement A specifies that the Clarus system must accept environmental data. Requirement B states 
2005 - clarus low,419,426,Inferred from ConOps  §2.5.7     L  X-821 Traffic management  personnel shall be able to use the Clarus  system to  obtain environmental conditions.,OCS     H  X-921 The Clarus  program shall  maintain information about service providers.,0.613,NO,NONE,Confidence: 1.00 | Requirement A specifies that the Clarus system shall allow traffic management personnel to obtain en
2005 - clarus low,89,218,OCS CS   M  F-205D1 CS shall be able to retrieve  remotely sensed environmental observations from data collectors.,"OCS QEDS, SS   H  D-051J1 QEDS shall disseminate  data in response to a scheduled environmental data request.",0.533,NO,NONE,Confidence: 0.95 | Requirement A specifies that the OCS CS component shall retrieve remotely sensed environmental obser
2005 - clarus low,9,84,The Clarus   system should be a data collection system capable of handling a vast range of data  in a flexible manner that permits new data types to be added.,F-200 The Clarus  system shall be able to  detect data submission errors.,0.575,NO,NONE,Confidence: 1.00 | Requirement A describes the core capability of the Clarus system as a flexible data collection syste
2005 - clarus low,33,319,F-806 The Clarus  system shall  enable administrators to manage security groups.,F-163 The Clarus  system shall be  able to implement quality checking rules specific to observation locations.,0.513,NO,NONE,"Confidence: 1.00 | Requirement A describes the ability for administrators to manage security groups, which pertains to "
2005 - clarus low,252,429,"H-020 The Clarus  system shall  acquire, process, and disseminate environmental  data.",OCS     H  X-935 The Clarus  program shall  allow potential weather element data providers to request permission to submit weather information.,0.626,NO,NONE,"Confidence: 1.00 | Requirement A describes the core data handling functions of the Clarus system (acquiring, processing"
2005 - clarus low,241,263,"MHI QEDS,  EMS   H  F-501J1 QEDS shall respond to  environmental data queries within one minute.",ID Requirement  Source Allocation -  QEDS Comment Criticality  I-021J1 QEDS shall respond to  environmental data queries selecting specific desired datasets.,0.59,NO,NONE,Confidence: 1.00 | Requirement A specifies a non-functional constraint regarding the response time for environmental da
2005 - clarus low,355,389,D- 011A4 Clarus  hosts shall be able to  aggregate environmental data from other Clarus   hosts.,X- 20139 The contributors shall have  the right to use the Clarus   system data and information for purposes delineated within the Clarus  Data  Sharing Agreement.,0.555,NO,NONE,Confidence: 1.00 | Requirement A describes a system capability for Clarus hosts to aggregate environmental data. Requir
2005 - clarus low,217,246,ID Requirement  Source Allocation -  QEDS Comment Criticality  D-051 The Clarus  system shall  disseminate data in  response to a scheduled  request.,F-905 The Clarus  system shall log  data transactions.,0.525,NO,NONE,Confidence: 1.00 | Requirement A specifies a functional capability: the system shall disseminate data in response to a 
2005 - clarus low,194,250,Task Force     I-016 The Clarus  system shall  transfer data as efficiently as possible.,"H-012 The Clarus  system data  definitions shall be consistent with the ITE TM 1.03 standard, Functional Level Traffic Management Data Dictionary (TMDD).",0.538,NO,NONE,Confidence: 0.95 | Requirement A specifies a performance goal for data transfer ('as efficiently as possible'). Require
2005 - clarus low,190,389,H- 120F1 The EMS shall accept source  queries that consist of a list of Clarus  contributors.,X- 20139 The contributors shall have  the right to use the Clarus   system data and information for purposes delineated within the Clarus  Data  Sharing Agreement.,0.64,NO,NONE,Confidence: 1.00 | Requirement A specifies that the EMS (Enterprise Management System) must accept a certain type of qu
2005 - clarus low,43,149,"H-120 The Clarus  system shall  acquire, process, and disseminate environmental metadata.",H  I-017D1 CS shall be able to extract  environmental data from an XML message that conforms to the Clarus  standard XML message  specification.,0.628,NO,NONE,"Confidence: 0.95 | Requirement A specifies the high-level capabilities of the Clarus system: to acquire, process, and d"
2005 - clarus low,187,414,F-905 The Clarus  system shall log  data transactions.,"ID Requirement  Source Allocation Comment Criticality X-605 The Clarus  program shall  operate according to Government IT security requirements as outlined in OMB Circular A-130, Management of Federal",0.527,NO,NONE,Confidence: 1.00 | Requirement A specifies that the system shall log data transactions. Requirement B states that the s
2005 - clarus low,358,363,MHI     H  D-031 The Clarus  system shall use  software that implements industry accepted standard  interfaces.,OCS     H  X-801 The Clarus  program shall  alert users to system modifications.,0.587,NO,NONE,Confidence: 1.00 | Requirement A specifies an architectural or design constraint related to the software's internal int
2005 - clarus low,54,220,"OCS QChS,  CAUI, QEDC   H  F-111C1 The CAUI shall enable a quality  manager to apply manual flags to a set of observations from an individual ESS.",OCS QEDS    H  D-061J1 QEDS shall disseminate  data in response to an immediate environmental data request.,0.517,NO,NONE,Confidence: 1.00 | Requirement A describes the ability for a quality manager to manually flag observations using the CA
2005 - clarus low,317,383,ID Requirement  Source Allocation -  QChS Comment Criticality  F-162 The Clarus  system shall be  able to implement quality checking spatial tests using available data.,X- 20126 The contributors shall  inform the Clarus  program  of known error(s) and modifications in its data and information.,0.512,NO,NONE,Confidence: 1.00 | Requirement A defines a capability for the Clarus system to perform quality checks on spatial data. 
2005 - clarus low,194,288,Task Force     I-016 The Clarus  system shall  transfer data as efficiently as possible.,P-025 The Clarus  system shall  respond to a request for information within one minute.,0.648,NO,NONE,Confidence: 0.95 | Requirement A specifies a general quality attribute for data transfer (efficiency). Requirement B sp
2005 - clarus low,194,428,Task Force     I-016 The Clarus  system shall  transfer data as efficiently as possible.,OCS     M  X-931 The Clarus  program shall  maintain information about service provider access to data.,0.634,NO,NONE,Confidence: 0.95 | Requirement A specifies a quality attribute (efficiency) for data transfer. Requirement B specifies 
2005 - clarus low,275,354,MHI     H  I-028J1 QEDS shall accept source  queries that consist of a list of Clarus  contributors.,D- 011A3 The Clarus  system shall  allocate each contributor to a specific host.,0.576,NO,NONE,Confidence: 1.00 | Requirement A states that QEDS accepts queries containing a list of Clarus contributors. Requirement
2005 - clarus low,257,404,I-017 The Clarus  system shall  employ industry standards to minimize implementation impact to users and providers.,ConOps §3.3.1     H  X-232 The Clarus  program shall  define quality checking rules for environmental observations.,0.515,NO,NONE,Confidence: 1.00 | Requirement A specifies an overarching architectural/non-functional constraint that the Clarus syste
2005 - clarus low,354,410,D- 011A3 The Clarus  system shall  allocate each contributor to a specific host.,Inferred from ConOps  §4.3     M  X-305 The Clarus  program shall  maintain a comprehensive Clarus  system test  environment.,0.591,NO,NONE,Confidence: 1.00 | Requirement A describes a core functional capability of the Clarus system: allocating contributors t
2005 - clarus low,262,384,I-021 The Clarus  system shall  allow service providers to select specific desired datasets.,X- 20127 The Clarus  program shall  determine its redistribution of shared data from contributors based upon Clarus  Data Sharing  Agreements.,0.605,NO,NONE,Confidence: 1.00 | Requirement A specifies that service providers can select desired datasets from the Clarus system. R
2005 - clarus low,88,286,F-205 The Clarus  system shall be able to  access remotely sensed environmental observations from data collectors.,P-024 The Clarus  system shall be  able to publish new data within twenty minutes of data receipt.,0.626,NO,NONE,Confidence: 1.00 | Requirement A describes the system's ability to acquire data (access remotely sensed environmental o
2005 - clarus low,240,414,F-501 The Clarus  system shall  minimize the time for data dissemination.,"ID Requirement  Source Allocation Comment Criticality X-605 The Clarus  program shall  operate according to Government IT security requirements as outlined in OMB Circular A-130, Management of Federal",0.59,YES,IMPLICIT,"Confidence: 0.90 | Requirement A mandates minimizing data dissemination time, implying an aggressive pursuit of speed. "
2005 - clarus low,92,414,F-213 The Clarus  system shall allow  access to new surface transportation-related observed environmental data.,"ID Requirement  Source Allocation Comment Criticality X-605 The Clarus  program shall  operate according to Government IT security requirements as outlined in OMB Circular A-130, Management of Federal",0.523,NO,NONE,Confidence: 1.00 | Requirement A specifies the type of data the Clarus system shall provide access to (surface transpor
2005 - clarus low,239,271,"ID Requirement  Source Allocation -  QEDS Comment Criticality  F-219J1 QEDS shall be able to  disseminate NWS watches, warnings, and advisories.",ID Requirement  Source Allocation -  QEDS Comment Criticality  I-026J2 QEDS shall accept location  queries based on a latitude/longitude location and radius.,0.577,NO,NONE,Confidence: 1.00 | Requirement A describes the system's ability to disseminate (push out) NWS information. Requirement 
2005 - clarus low,231,368,ID Requirement  Source Allocation -  QEDS Comment Criticality  F-115 The Clarus  system shall  provide notification of data quality conditions to data contributors.,MHI     H  Q-013 The Clarus  system shall be  able to respond to 95% of all requests for environmental data 95% of the time.,0.568,NO,NONE,Confidence: 1.00 | Requirement A specifies that the system shall provide notifications about data quality conditions to
2005 - clarus low,90,190,F-211 The Clarus  system shall be able to  receive roadway weather measurements derived from VII data.,H- 120F1 The EMS shall accept source  queries that consist of a list of Clarus  contributors.,0.544,NO,NONE,Confidence: 1.00 | Requirement A specifies that the Clarus system shall receive roadway weather measurements from VII d
2005 - clarus low,303,305,F-121 The Clarus  system shall  detect out of range values.,F-121H2 QChS algorithms shall use  climate records for range checking bounds.,0.514,NO,NONE,Confidence: 0.95 | Requirement A specifies that the Clarus system shall detect out-of-range values. Requirement B speci
2005 - clarus low,25,408,F-163 The Clarus  system shall be  able to implement quality checking rules specific to observation locations.,ID Requirement  Source Allocation Comment Criticality X-237 The Clarus  program  standards shall accommodate contributions of new sensor technologies to the Clarus  system.,0.613,NO,NONE,Confidence: 1.00 | Requirement A describes a specific functional capability for the Clarus system: the ability to imple
2005 - clarus low,30,36,M  F- 175B1 The CAS shall be able to  configure multiple algorithms to be used in the quality checking process.,F- 806B3 The CAS shall have a quality  manager security group.,0.527,NO,NONE,Confidence: 1.00 | Requirement A specifies the system's ability to configure multiple algorithms for quality checking. 
2005 - clarus low,24,254,H  F- 161B1 The CAS shall be able to  configure quality checking  rules for specific environmental situations.,"ConOps §3.4.2,  amended in Task Force review CS, QChS,  QEDS North America in this context includes the  United States, it territories, Canada, and Mexico H  H-301J1 QEDS shall be able to  disseminate",0.501,NO,NONE,Confidence: 1.00 | Requirement A states that the CAS shall configure quality checking rules for specific environmental 
2005 - clarus low,16,262,ID Requirement  Source Allocation  - CAS Comment Criticality F-101 The Clarus  system shall  implement quality checking processes as soon as data become available.,I-021 The Clarus  system shall  allow service providers to select specific desired datasets.,0.537,NO,NONE,Confidence: 1.00 | Requirement A specifies an automated quality checking process that occurs upon data availability. Re
2005 - clarus low,58,238,F-141 The Clarus  system shall allow  human quality checks of environmental data.,"F-219 The Clarus  system shall  disseminate NWS watches, warnings, and advisories.",0.599,NO,NONE,Confidence: 1.00 | Requirement A specifies the functionality for human quality checks of environmental data. Requiremen
2005 - clarus low,219,426,D-061 The Clarus  system shall  disseminate environmental data in response to polling.,OCS     H  X-921 The Clarus  program shall  maintain information about service providers.,0.525,NO,NONE,Confidence: 1.00 | Requirement A specifies that the Clarus system shall disseminate environmental data in response to p
2005 - clarus low,182,211,L  F-213F1 The Clarus  system shall allow  new EMS to be implemented that disseminate new observation types to be implemented as they become available.,I-021 The Clarus  system shall  allow service providers to select specific desired data sets.,0.603,NO,NONE,Confidence: 1.00 | Requirement A specifies the system's capability to incorporate and disseminate new types of observat
2005 - clarus low,25,407,F-163 The Clarus  system shall be  able to implement quality checking rules specific to observation locations.,"OCS   That is, the Clarus  program needs to  provide documentation of whatever standards it creates for its own development, deployment, management, and operations.",0.521,NO,NONE,Confidence: 1.00 | Requirement A describes a functional capability of the Clarus system: implementing quality checking 
2005 - clarus low,340,427,P-024 The Clarus  system shall be  able to publish new data within twenty minutes of data receipt.,OCS     H  X-925 The Clarus  program shall  maintain information about service provider communications.,0.568,NO,NONE,Confidence: 1.00 | Requirement A specifies a performance constraint for publishing new data (within twenty minutes). Re
2005 - clarus low,250,301,"H-012 The Clarus  system data  definitions shall be consistent with the ITE TM 1.03 standard, Functional Level Traffic Management Data Dictionary (TMDD).",F-115 The Clarus  system shall  provide notification of data quality conditions to data contributors.,0.553,NO,NONE,Confidence: 1.00 | Requirement A (H-012) mandates consistency of the system's data definitions with an external standar
2005 - clarus low,31,402,F-213 The Clarus  system shall  allow access to new surface transportation-related environmental data.,9)     H  X-221 The Clarus  program shall  provide for customer service.,0.59,NO,NONE,Confidence: 1.00 | Requirement A specifies the Clarus system's functionality regarding access to environmental data. Re
2005 - clarus low,303,412,F-121 The Clarus  system shall  detect out of range values.,OCS     H  X-315 The Clarus  program shall  test all hardware changes in the designated test environment before deployment to production.,0.505,NO,NONE,Confidence: 1.00 | Requirement A specifies a functional capability of the Clarus system related to data validation ('de
2005 - clarus low,246,303,F-905 The Clarus  system shall log  data transactions.,F-121 The Clarus  system shall  detect out of range values.,0.531,NO,NONE,"Confidence: 1.00 | Requirement A specifies that the system shall log data transactions, focusing on recording events an"
2005 - clarus low,329,400,F-213 The Clarus  system shall  allow access to new  surface transportation related observed environmental data.,MHI     H  X-211 The Clarus  program shall  provide network management tools.,0.524,NO,NONE,Confidence: 1.00 | Requirement A specifies providing access to particular environmental data. Requirement B specifies p
2005 - clarus low,393,413,"ID Requirement  Source Allocation Comment Criticality X- 20149 The contributors shall  provide the Clarus  program  with a timely notice of their intent to change, alter, replace, or eliminate any sha",OCS     H  X-601 The Clarus  program shall  operate the Clarus  system  according to its published IT  Security Plan.,0.553,NO,NONE,Confidence: 0.95 | Requirement A mandates that 'contributors' provide 'the Clarus program' with timely notice of their 
2005 - clarus low,9,94,The Clarus   system should be a data collection system capable of handling a vast range of data  in a flexible manner that permits new data types to be added.,ID Requirement  Source Allocation -  CS Comment Criticality F-214 The Clarus  system shall accept  environmental data derived from images.,0.506,NO,NONE,"Confidence: 0.95 | Requirement A describes the Clarus system's general capability to handle a vast, flexible range of d"
2005 - clarus low,211,329,I-021 The Clarus  system shall  allow service providers to select specific desired data sets.,F-213 The Clarus  system shall  allow access to new  surface transportation related observed environmental data.,0.643,NO,NONE,"Confidence: 1.00 | Requirement A describes the ability for service providers to select specific desired data sets, impl"
2005 - clarus low,304,324,H  F-121H1 QChS algorithms shall use  sensor range metadata for range checking bounds.,H  F-166H1 QChS shall be able to base  its quality checking process on values distributed in time.,0.592,NO,NONE,Confidence: 0.95 | Requirement A specifies that H F-121H1 QChS algorithms shall use sensor range metadata for range che
2005 - clarus low,236,354,F-213 The Clarus  system shall  allow access to new surface transportation related observed environmental data.,D- 011A3 The Clarus  system shall  allocate each contributor to a specific host.,0.565,NO,NONE,Confidence: 1.00 | Requirement A specifies that the Clarus system should provide access to environmental data. Requirem
