doc_id,req_i_idx,req_j_idx,req_i,req_j,cosine_sim,annotator1_conflict,annotator2_conflict,conflict_type,notes
0000 - gamma j,13,14,3.2 Inventory Management  3.2.1 Description And Priority  Inventory management will allow for the placement of products into multi-tiered  categories.,"The inventory management will allow for administrators to update the  categories, the products placed in categories, and the specific product details.",0.672,,,,
0000 - gamma j,13,15,3.2 Inventory Management  3.2.1 Description And Priority  Inventory management will allow for the placement of products into multi-tiered  categories.,3.3 Shopping Cart  3.3.1 Description And Priority  Customers will be able to add and store products for purchase within the shopping cart.,0.597,,,,
0000 - gamma j,15,18,3.3 Shopping Cart  3.3.1 Description And Priority  Customers will be able to add and store products for purchase within the shopping cart.,The customer  will also be able to add to or remove products from the shopping cart prior to checkout  and order confirmation.,0.563,,,,
0000 - gamma j,15,19,3.3 Shopping Cart  3.3.1 Description And Priority  Customers will be able to add and store products for purchase within the shopping cart.,3.4 Order Confirmation  3.4.1 Description And Priority  Order confirmation will allow the customer to review their order after checkout prior to  confirmation.,0.502,,,,
0000 - gamma j,15,35,3.3 Shopping Cart  3.3.1 Description And Priority  Customers will be able to add and store products for purchase within the shopping cart.,• The system shall be able to add product to shopping cart in less than 2ms.,0.513,,,,
0000 - gamma j,15,74,3.3 Shopping Cart  3.3.1 Description And Priority  Customers will be able to add and store products for purchase within the shopping cart.,Customer must have item(s) in the shopping cart.,0.547,,,,
0000 - gamma j,15,95,3.3 Shopping Cart  3.3.1 Description And Priority  Customers will be able to add and store products for purchase within the shopping cart.,Customer must have item(s) in the shopping cart.,0.547,,,,
0000 - gamma j,16,20,GAMMA-J Web Store   8   3.3.2 Stimulus/Response Sequences  Same as 3.1.2  3.3.3 Functional Requirements  Customers will also be able to add products into the shopping cart.,3.4.2 Stimulus/Response Sequences  Same as 3.1.2  3.4.3 Functional Requirements  Customers will be able to confirm the order after checkout.,0.689,,,,
0000 - gamma j,16,24,GAMMA-J Web Store   8   3.3.2 Stimulus/Response Sequences  Same as 3.1.2  3.3.3 Functional Requirements  Customers will also be able to add products into the shopping cart.,3.5.2 Stimulus/Response Sequences  Same as 3.1.2  3.5.3 Functional Requirements  Customers will be presented with an unambiguous interface to assist in browsing the  categories and products.,0.723,,,,
0000 - gamma j,16,53,GAMMA-J Web Store   8   3.3.2 Stimulus/Response Sequences  Same as 3.1.2  3.3.3 Functional Requirements  Customers will also be able to add products into the shopping cart.,"5.6 Usability Requirements  GAMMA-J Web Store   22   • The system shall be easy to use   • The system shall be easy to learn  • The system shall utilize help bubbles to assist managers, customers, and",0.570,,,,
0000 - gamma j,16,71,GAMMA-J Web Store   8   3.3.2 Stimulus/Response Sequences  Same as 3.1.2  3.3.3 Functional Requirements  Customers will also be able to add products into the shopping cart.,Actors:  GAMMA-J Web Store   28   Customer  Weborder System    Preconditions:  Customer must be logged-in on the system.,0.522,,,,
0000 - gamma j,16,92,GAMMA-J Web Store   8   3.3.2 Stimulus/Response Sequences  Same as 3.1.2  3.3.3 Functional Requirements  Customers will also be able to add products into the shopping cart.,Actors:  Customer  GAMMA-J Web Store   39   Weborder System    Preconditions:  Customer must be logged-in on the system.,0.510,,,,
0000 - gamma j,18,19,The customer  will also be able to add to or remove products from the shopping cart prior to checkout  and order confirmation.,3.4 Order Confirmation  3.4.1 Description And Priority  Order confirmation will allow the customer to review their order after checkout prior to  confirmation.,0.551,,,,
0000 - gamma j,18,22,The customer  will also be able to add to or remove products from the shopping cart prior to checkout  and order confirmation.,The customer will then receive a  confirmation email with the specific order details.,0.625,,,,
0000 - gamma j,18,35,The customer  will also be able to add to or remove products from the shopping cart prior to checkout  and order confirmation.,• The system shall be able to add product to shopping cart in less than 2ms.,0.570,,,,
0000 - gamma j,18,72,The customer  will also be able to add to or remove products from the shopping cart prior to checkout  and order confirmation.,Add Item To Cart    Goal:  Customer adds item(s) in the cart    Actors:  Customer  System    Preconditions:   The customer must be logged-in on the system.,0.530,,,,
0000 - gamma j,18,74,The customer  will also be able to add to or remove products from the shopping cart prior to checkout  and order confirmation.,Customer must have item(s) in the shopping cart.,0.660,,,,
0000 - gamma j,18,93,The customer  will also be able to add to or remove products from the shopping cart prior to checkout  and order confirmation.,Add Item To Cart    Goal:  Customer adds item(s) in the cart    Actors:  Customer  System    Preconditions:   The customer must be logged-in on the system.,0.530,,,,
0000 - gamma j,18,95,The customer  will also be able to add to or remove products from the shopping cart prior to checkout  and order confirmation.,Customer must have item(s) in the shopping cart.,0.660,,,,
0000 - gamma j,19,20,3.4 Order Confirmation  3.4.1 Description And Priority  Order confirmation will allow the customer to review their order after checkout prior to  confirmation.,3.4.2 Stimulus/Response Sequences  Same as 3.1.2  3.4.3 Functional Requirements  Customers will be able to confirm the order after checkout.,0.623,,,,
0000 - gamma j,19,21,3.4 Order Confirmation  3.4.1 Description And Priority  Order confirmation will allow the customer to review their order after checkout prior to  confirmation.,"If the order is incorrect, the  customer will be able to revise and update their order.",0.549,,,,
0000 - gamma j,19,22,3.4 Order Confirmation  3.4.1 Description And Priority  Order confirmation will allow the customer to review their order after checkout prior to  confirmation.,The customer will then receive a  confirmation email with the specific order details.,0.634,,,,
0000 - gamma j,20,22,3.4.2 Stimulus/Response Sequences  Same as 3.1.2  3.4.3 Functional Requirements  Customers will be able to confirm the order after checkout.,The customer will then receive a  confirmation email with the specific order details.,0.507,,,,
0000 - gamma j,20,24,3.4.2 Stimulus/Response Sequences  Same as 3.1.2  3.4.3 Functional Requirements  Customers will be able to confirm the order after checkout.,3.5.2 Stimulus/Response Sequences  Same as 3.1.2  3.5.3 Functional Requirements  Customers will be presented with an unambiguous interface to assist in browsing the  categories and products.,0.777,,,,
0000 - gamma j,21,22,"If the order is incorrect, the  customer will be able to revise and update their order.",The customer will then receive a  confirmation email with the specific order details.,0.660,,,,
0000 - gamma j,23,26,The interface must  remain consistent among various web browsers and be intuitive to the customer.,"The interface will be compatible with all major web browsers such as  Internet Explorer, Mozilla Navigator, Mozilla Firefox, Opera, and Safari.",0.602,,,,
0000 - gamma j,25,36,Customers will be able to search for products matching their  search criteria.,• The system shall be able to search for a specified product in less than 1 second.,0.547,,,,
0000 - gamma j,27,28,3.6 Plug-in API  3.6.1 Description And Priority  The system will feature an API to allow customers to build custom plug-ins to be able to  meet their needs.,The plug-in API will be well documented and specifications will be  provided to plug-in developers.,0.618,,,,
0000 - gamma j,27,55,3.6 Plug-in API  3.6.1 Description And Priority  The system will feature an API to allow customers to build custom plug-ins to be able to  meet their needs.,5.7 Maintainability Requirements  • The system shall utilize interchangeable plugins.,0.501,,,,
0000 - gamma j,29,30,"SI-1.2: Through programmatic interface, WebOrder will transmit information of items  ordered by customers to the Inventory management system.",SI-1.3: Plug-ins interface  4.4 Communications Interfaces    CI-1: The WebOrder system shall send an e-mail confirmation to the customer that the  items they ordered will be delivered to the shipping ,0.713,,,,
0000 - gamma j,29,31,"SI-1.2: Through programmatic interface, WebOrder will transmit information of items  ordered by customers to the Inventory management system.",CI-2: The WebOrder system shall send an e-mail to System Administrator regarding any  technical queries from customers or sales people.,0.585,,,,
0000 - gamma j,29,64,"SI-1.2: Through programmatic interface, WebOrder will transmit information of items  ordered by customers to the Inventory management system.",• The system should be able to create test environment of weborder system.,0.560,,,,
0000 - gamma j,30,31,SI-1.3: Plug-ins interface  4.4 Communications Interfaces    CI-1: The WebOrder system shall send an e-mail confirmation to the customer that the  items they ordered will be delivered to the shipping ,CI-2: The WebOrder system shall send an e-mail to System Administrator regarding any  technical queries from customers or sales people.,0.659,,,,
0000 - gamma j,32,59,Quality Attribute Requirements  5.1 Performance Requirements  • Upon the USB being plugged in the system shall be able to be deployed and  operational in less than 1 minute.,5.8 Portability Requirements  • The system shall be extremely portable via the usb drive.,0.586,,,,
0000 - gamma j,33,34,• The system shall be able to handle 1000 customers logged in concurrently at the  same time.,• The system shall be able to retrieve 200 products per second.,0.598,,,,
0000 - gamma j,33,40,• The system shall be able to handle 1000 customers logged in concurrently at the  same time.,• The system shall be able to restore 1000 records per second.,0.568,,,,
0000 - gamma j,33,44,• The system shall be able to handle 1000 customers logged in concurrently at the  same time.,• The system shall encrypt all customer data in database.,0.502,,,,
0000 - gamma j,33,46,• The system shall be able to handle 1000 customers logged in concurrently at the  same time.,• The system shall detect consecutive failed login attempts.,0.512,,,,
0000 - gamma j,34,35,• The system shall be able to retrieve 200 products per second.,• The system shall be able to add product to shopping cart in less than 2ms.,0.617,,,,
0000 - gamma j,34,36,• The system shall be able to retrieve 200 products per second.,• The system shall be able to search for a specified product in less than 1 second.,0.732,,,,
0000 - gamma j,34,39,• The system shall be able to retrieve 200 products per second.,• The system shall be able to acquire shipping charges in less than 2 seconds.,0.531,,,,
0000 - gamma j,34,40,• The system shall be able to retrieve 200 products per second.,• The system shall be able to restore 1000 records per second.,0.718,,,,
0000 - gamma j,35,36,• The system shall be able to add product to shopping cart in less than 2ms.,• The system shall be able to search for a specified product in less than 1 second.,0.641,,,,
0000 - gamma j,35,37,• The system shall be able to add product to shopping cart in less than 2ms.,• The system shall be able to email customer and vendor in less than 1 second.,0.623,,,,
0000 - gamma j,35,38,• The system shall be able to add product to shopping cart in less than 2ms.,• The system shall be able to validate credit card in less than 2 seconds.,0.555,,,,
0000 - gamma j,35,39,• The system shall be able to add product to shopping cart in less than 2ms.,• The system shall be able to acquire shipping charges in less than 2 seconds.,0.619,,,,
0000 - gamma j,35,74,• The system shall be able to add product to shopping cart in less than 2ms.,Customer must have item(s) in the shopping cart.,0.509,,,,
0000 - gamma j,35,95,• The system shall be able to add product to shopping cart in less than 2ms.,Customer must have item(s) in the shopping cart.,0.509,,,,
0000 - gamma j,36,37,• The system shall be able to search for a specified product in less than 1 second.,• The system shall be able to email customer and vendor in less than 1 second.,0.566,,,,
0000 - gamma j,36,38,• The system shall be able to search for a specified product in less than 1 second.,• The system shall be able to validate credit card in less than 2 seconds.,0.545,,,,
0000 - gamma j,36,39,• The system shall be able to search for a specified product in less than 1 second.,• The system shall be able to acquire shipping charges in less than 2 seconds.,0.501,,,,
0000 - gamma j,36,40,• The system shall be able to search for a specified product in less than 1 second.,• The system shall be able to restore 1000 records per second.,0.521,,,,
0000 - gamma j,37,38,• The system shall be able to email customer and vendor in less than 1 second.,• The system shall be able to validate credit card in less than 2 seconds.,0.556,,,,
0000 - gamma j,37,39,• The system shall be able to email customer and vendor in less than 1 second.,• The system shall be able to acquire shipping charges in less than 2 seconds.,0.637,,,,
0000 - gamma j,37,52,• The system shall be able to email customer and vendor in less than 1 second.,• The system shall validate email address existence.,0.526,,,,
0000 - gamma j,38,39,• The system shall be able to validate credit card in less than 2 seconds.,• The system shall be able to acquire shipping charges in less than 2 seconds.,0.548,,,,
0000 - gamma j,38,42,• The system shall be able to validate credit card in less than 2 seconds.,5.3 Security Requirements  • The system shall validate credit cards against fraud.,0.661,,,,
0000 - gamma j,38,50,• The system shall be able to validate credit card in less than 2 seconds.,"• For returning customers, the system shall validate 'existing' credit card in system  after each log in.",0.674,,,,
0000 - gamma j,38,62,• The system shall be able to validate credit card in less than 2 seconds.,• The system should be able to run test credit card transactions.,0.597,,,,
0000 - gamma j,39,63,• The system shall be able to acquire shipping charges in less than 2 seconds.,• The system should be able to run test shipping orders.,0.565,,,,
0000 - gamma j,41,48,5.2 Safety Requirements  • The system will do periodic backups through a live internet connection.,http://www.fs-security.com/   5.4 Availability Requirements  • The system shall have an availability of 99.99%.,0.532,,,,
0000 - gamma j,41,59,5.2 Safety Requirements  • The system will do periodic backups through a live internet connection.,5.8 Portability Requirements  • The system shall be extremely portable via the usb drive.,0.525,,,,
0000 - gamma j,41,65,5.2 Safety Requirements  • The system will do periodic backups through a live internet connection.,Other Requirements  • The system hardware shall be fixed and patched via an internet connection.,0.502,,,,
0000 - gamma j,42,50,5.3 Security Requirements  • The system shall validate credit cards against fraud.,"• For returning customers, the system shall validate 'existing' credit card in system  after each log in.",0.680,,,,
0000 - gamma j,42,62,5.3 Security Requirements  • The system shall validate credit cards against fraud.,• The system should be able to run test credit card transactions.,0.598,,,,
0000 - gamma j,43,44,• The system shall encrypt all sensitive information via https.,• The system shall encrypt all customer data in database.,0.667,,,,
0000 - gamma j,45,46,• The system shall auto detect IP DOS attacks and block IP automatically.,• The system shall detect consecutive failed login attempts.,0.505,,,,
0000 - gamma j,45,47,• The system shall auto detect IP DOS attacks and block IP automatically.,• The system shall be protected by open source firewall called Firestarter.,0.501,,,,
0000 - gamma j,48,65,http://www.fs-security.com/   5.4 Availability Requirements  • The system shall have an availability of 99.99%.,Other Requirements  • The system hardware shall be fixed and patched via an internet connection.,0.513,,,,
0000 - gamma j,50,62,"• For returning customers, the system shall validate 'existing' credit card in system  after each log in.",• The system should be able to run test credit card transactions.,0.666,,,,
0000 - gamma j,53,81,"5.6 Usability Requirements  GAMMA-J Web Store   22   • The system shall be easy to use   • The system shall be easy to learn  • The system shall utilize help bubbles to assist managers, customers, and",Actors:  Administrator  Weborder System    GAMMA-J Web Store   33   Preconditions:  Administrator must be able to access the weborder system via a web browser with HTTPS.,0.502,,,,
0000 - gamma j,55,59,5.7 Maintainability Requirements  • The system shall utilize interchangeable plugins.,5.8 Portability Requirements  • The system shall be extremely portable via the usb drive.,0.548,,,,
0000 - gamma j,55,61,5.7 Maintainability Requirements  • The system shall utilize interchangeable plugins.,5.9 Testability Requirements  • The system should be able to run under debug mode.,0.512,,,,
0000 - gamma j,56,57,• The system shall be easily updatable for fixes and patches.,"• The system shall create logs of all changes, updates, or fixes that are done to the  site.",0.528,,,,
0000 - gamma j,56,58,• The system shall be easily updatable for fixes and patches.,• The system shall be easy to upgrade.,0.742,,,,
0000 - gamma j,56,65,• The system shall be easily updatable for fixes and patches.,Other Requirements  • The system hardware shall be fixed and patched via an internet connection.,0.679,,,,
0000 - gamma j,58,60,• The system shall be easy to upgrade.,• The system shall be easy to migrate or backed up via another usb drive.,0.548,,,,
0000 - gamma j,58,65,• The system shall be easy to upgrade.,Other Requirements  • The system hardware shall be fixed and patched via an internet connection.,0.599,,,,
0000 - gamma j,59,60,5.8 Portability Requirements  • The system shall be extremely portable via the usb drive.,• The system shall be easy to migrate or backed up via another usb drive.,0.563,,,,
0000 - gamma j,59,61,5.8 Portability Requirements  • The system shall be extremely portable via the usb drive.,5.9 Testability Requirements  • The system should be able to run under debug mode.,0.538,,,,
0000 - gamma j,62,63,• The system should be able to run test credit card transactions.,• The system should be able to run test shipping orders.,0.634,,,,
0000 - gamma j,63,64,• The system should be able to run test shipping orders.,• The system should be able to create test environment of weborder system.,0.643,,,,
0000 - gamma j,64,69,• The system should be able to create test environment of weborder system.,Actors:  Customer  Weborder System    Preconditions:  Customer must be able to access the web order system via a web browser with HTTPS.,0.521,,,,
0000 - gamma j,64,70,• The system should be able to create test environment of weborder system.,Actors:  Customer  Weborder System    Preconditions:  Customer must be logged-in on the system.,0.501,,,,
0000 - gamma j,64,77,• The system should be able to create test environment of weborder system.,Actors:  GAMMA-J Web Store   31   Administrator  Weborder System    Preconditions:  Administrator must be able to access the weborder system via a web browser with HTTPS.,0.506,,,,
0000 - gamma j,64,78,• The system should be able to create test environment of weborder system.,Actors:  Administrator  Weborder System    Preconditions:  Administrator must be able to access the weborder system via a web browser with HTTPS.,0.502,,,,
0000 - gamma j,64,79,• The system should be able to create test environment of weborder system.,Actors:  Administrator  GAMMA-J Web Store   32   Weborder System    Preconditions:  Administrator must be able to access the weborder system via a web browser with HTTPS.,0.517,,,,
0000 - gamma j,64,80,• The system should be able to create test environment of weborder system.,Actors:  Administrator  Weborder System    Preconditions:  Administrator must be able to access the weborder system via a web browser with HTTPS.,0.502,,,,
0000 - gamma j,64,81,• The system should be able to create test environment of weborder system.,Actors:  Administrator  Weborder System    GAMMA-J Web Store   33   Preconditions:  Administrator must be able to access the weborder system via a web browser with HTTPS.,0.518,,,,
0000 - gamma j,64,82,• The system should be able to create test environment of weborder system.,Actors:  Administrator  Weborder System    Preconditions:  Administrator must be able to access the weborder system via a web browser with HTTPS.,0.502,,,,
0000 - gamma j,64,83,• The system should be able to create test environment of weborder system.,Actors:  Administrator  Weborder System    Preconditions:  Administrator must be able to access the weborder system via a web browser with HTTPS.,0.502,,,,
0000 - gamma j,64,89,• The system should be able to create test environment of weborder system.,Actors:  Customer  Weborder System    Preconditions:  Customer must be able to access the weborder system via a web browser with HTTPS.,0.524,,,,
0000 - gamma j,64,91,• The system should be able to create test environment of weborder system.,Actors:  Customer  Weborder System    Preconditions:  Customer must be logged-in on the system.,0.501,,,,
0000 - gamma j,69,70,Actors:  Customer  Weborder System    Preconditions:  Customer must be able to access the web order system via a web browser with HTTPS.,Actors:  Customer  Weborder System    Preconditions:  Customer must be logged-in on the system.,0.824,,,,
0000 - gamma j,69,71,Actors:  Customer  Weborder System    Preconditions:  Customer must be able to access the web order system via a web browser with HTTPS.,Actors:  GAMMA-J Web Store   28   Customer  Weborder System    Preconditions:  Customer must be logged-in on the system.,0.730,,,,
0000 - gamma j,69,75,Actors:  Customer  Weborder System    Preconditions:  Customer must be able to access the web order system via a web browser with HTTPS.,Actors:  Administrator   Weborder System    Preconditions:  Administrator account must already be registered.,0.667,,,,
0000 - gamma j,69,76,Actors:  Customer  Weborder System    Preconditions:  Customer must be able to access the web order system via a web browser with HTTPS.,Actors:  Administrator   Weborder System    Preconditions:  Administrator must be logged-in on the system.,0.724,,,,
0000 - gamma j,69,77,Actors:  Customer  Weborder System    Preconditions:  Customer must be able to access the web order system via a web browser with HTTPS.,Actors:  GAMMA-J Web Store   31   Administrator  Weborder System    Preconditions:  Administrator must be able to access the weborder system via a web browser with HTTPS.,0.801,,,,
0000 - gamma j,69,78,Actors:  Customer  Weborder System    Preconditions:  Customer must be able to access the web order system via a web browser with HTTPS.,Actors:  Administrator  Weborder System    Preconditions:  Administrator must be able to access the weborder system via a web browser with HTTPS.,0.911,,,,
0000 - gamma j,69,79,Actors:  Customer  Weborder System    Preconditions:  Customer must be able to access the web order system via a web browser with HTTPS.,Actors:  Administrator  GAMMA-J Web Store   32   Weborder System    Preconditions:  Administrator must be able to access the weborder system via a web browser with HTTPS.,0.801,,,,
0000 - gamma j,69,80,Actors:  Customer  Weborder System    Preconditions:  Customer must be able to access the web order system via a web browser with HTTPS.,Actors:  Administrator  Weborder System    Preconditions:  Administrator must be able to access the weborder system via a web browser with HTTPS.,0.911,,,,
0000 - gamma j,69,81,Actors:  Customer  Weborder System    Preconditions:  Customer must be able to access the web order system via a web browser with HTTPS.,Actors:  Administrator  Weborder System    GAMMA-J Web Store   33   Preconditions:  Administrator must be able to access the weborder system via a web browser with HTTPS.,0.806,,,,
0000 - gamma j,69,82,Actors:  Customer  Weborder System    Preconditions:  Customer must be able to access the web order system via a web browser with HTTPS.,Actors:  Administrator  Weborder System    Preconditions:  Administrator must be able to access the weborder system via a web browser with HTTPS.,0.911,,,,
0000 - gamma j,69,83,Actors:  Customer  Weborder System    Preconditions:  Customer must be able to access the web order system via a web browser with HTTPS.,Actors:  Administrator  Weborder System    Preconditions:  Administrator must be able to access the weborder system via a web browser with HTTPS.,0.911,,,,
0000 - gamma j,69,84,Actors:  Customer  Weborder System    Preconditions:  Customer must be able to access the web order system via a web browser with HTTPS.,Actors:  Sales Person  Weborder System    Preconditions:  Sales Person account must already be registered.,0.694,,,,
0000 - gamma j,69,85,Actors:  Customer  Weborder System    Preconditions:  Customer must be able to access the web order system via a web browser with HTTPS.,Actors:  Sales Person   Weborder System    Preconditions:  Sales Person must be logged-in on the system.,0.785,,,,
0000 - gamma j,69,86,Actors:  Customer  Weborder System    Preconditions:  Customer must be able to access the web order system via a web browser with HTTPS.,Actors:  Sales Person  Weborder System    Preconditions:  Sales Person must be able to access the weborder system via a web browser with HTTPS.,0.944,,,,
0000 - gamma j,69,87,Actors:  Customer  Weborder System    Preconditions:  Customer must be able to access the web order system via a web browser with HTTPS.,Actors:  Sales Person  Weborder System    Preconditions:  Sales Person must be able to access the weborder system via a web browser with HTTPS.,0.944,,,,
0000 - gamma j,69,88,Actors:  Customer  Weborder System    Preconditions:  Customer must be able to access the web order system via a web browser with HTTPS.,Actors:  Sales Person  Weborder System    Preconditions:  Sales Person must be able to access the weborder system via a web browser with HTTPS.,0.944,,,,
0000 - gamma j,69,89,Actors:  Customer  Weborder System    Preconditions:  Customer must be able to access the web order system via a web browser with HTTPS.,Actors:  Customer  Weborder System    Preconditions:  Customer must be able to access the weborder system via a web browser with HTTPS.,0.993,,,,
0000 - gamma j,69,90,Actors:  Customer  Weborder System    Preconditions:  Customer must be able to access the web order system via a web browser with HTTPS.,Actors:  Customer  Weborder System    Preconditions:  Customer account must already be registered.,0.756,,,,
0000 - gamma j,69,91,Actors:  Customer  Weborder System    Preconditions:  Customer must be able to access the web order system via a web browser with HTTPS.,Actors:  Customer  Weborder System    Preconditions:  Customer must be logged-in on the system.,0.824,,,,
0000 - gamma j,69,92,Actors:  Customer  Weborder System    Preconditions:  Customer must be able to access the web order system via a web browser with HTTPS.,Actors:  Customer  GAMMA-J Web Store   39   Weborder System    Preconditions:  Customer must be logged-in on the system.,0.739,,,,
0000 - gamma j,70,71,Actors:  Customer  Weborder System    Preconditions:  Customer must be logged-in on the system.,Actors:  GAMMA-J Web Store   28   Customer  Weborder System    Preconditions:  Customer must be logged-in on the system.,0.875,,,,
0000 - gamma j,70,72,Actors:  Customer  Weborder System    Preconditions:  Customer must be logged-in on the system.,Add Item To Cart    Goal:  Customer adds item(s) in the cart    Actors:  Customer  System    Preconditions:   The customer must be logged-in on the system.,0.638,,,,
0000 - gamma j,70,73,Actors:  Customer  Weborder System    Preconditions:  Customer must be logged-in on the system.,Customer must be logged-in on the system.,0.618,,,,
0000 - gamma j,70,75,Actors:  Customer  Weborder System    Preconditions:  Customer must be logged-in on the system.,Actors:  Administrator   Weborder System    Preconditions:  Administrator account must already be registered.,0.778,,,,
0000 - gamma j,70,76,Actors:  Customer  Weborder System    Preconditions:  Customer must be logged-in on the system.,Actors:  Administrator   Weborder System    Preconditions:  Administrator must be logged-in on the system.,0.858,,,,
0000 - gamma j,70,77,Actors:  Customer  Weborder System    Preconditions:  Customer must be logged-in on the system.,Actors:  GAMMA-J Web Store   31   Administrator  Weborder System    Preconditions:  Administrator must be able to access the weborder system via a web browser with HTTPS.,0.663,,,,
0000 - gamma j,70,78,Actors:  Customer  Weborder System    Preconditions:  Customer must be logged-in on the system.,Actors:  Administrator  Weborder System    Preconditions:  Administrator must be able to access the weborder system via a web browser with HTTPS.,0.738,,,,
0000 - gamma j,70,79,Actors:  Customer  Weborder System    Preconditions:  Customer must be logged-in on the system.,Actors:  Administrator  GAMMA-J Web Store   32   Weborder System    Preconditions:  Administrator must be able to access the weborder system via a web browser with HTTPS.,0.653,,,,
0000 - gamma j,70,80,Actors:  Customer  Weborder System    Preconditions:  Customer must be logged-in on the system.,Actors:  Administrator  Weborder System    Preconditions:  Administrator must be able to access the weborder system via a web browser with HTTPS.,0.738,,,,
0000 - gamma j,70,81,Actors:  Customer  Weborder System    Preconditions:  Customer must be logged-in on the system.,Actors:  Administrator  Weborder System    GAMMA-J Web Store   33   Preconditions:  Administrator must be able to access the weborder system via a web browser with HTTPS.,0.657,,,,
0000 - gamma j,70,82,Actors:  Customer  Weborder System    Preconditions:  Customer must be logged-in on the system.,Actors:  Administrator  Weborder System    Preconditions:  Administrator must be able to access the weborder system via a web browser with HTTPS.,0.738,,,,
