pair_id,doc_id,req_i_idx,req_j_idx,requirement_A,requirement_B,cosine_sim,annotator1_label,annotator2_label,annotator2_notes
P017,2006 - eirene sys 15,81,244,"(M)  5.4.4 Upon registration, the mobile shall be accessible by calling the MSISDN or the Engine  or Coach number with which it is associated.",(O)  9.7.4 It shall be possible for authorised subscribers of fixed and mobile networks to call  mobiles using the appropriate MSISDN number.,0.63,OVERLAP,OVERLAP,
P018,2009 - peppol,9,350,In the long-run the VCD should be able to adequately fulfil the contracting  authorities’ need to prove suitability and non-exclusi on of economic operators according to certain  criteria while reduci,In the long-run the VCD should be able to adequately fulfil the  contracting authorities’ need to proof conformance to certain criteria for qualitative selection and  exclusion while reducing the burd,0.895,NO_CONFLICT,NO_CONFLICT,
P019,2006 - eirene sys 15,127,173,Physical conditions  5.7.7 Measures should be taken to reduce the risk of theft of radio equipment.,(I)  7.5 Environmental and physical  7.5.1 The Operational radio shall comply with the basic standards defined for all EIRENE  mobile equipment in section 4.,0.549,NO_CONFLICT,NO_CONFLICT,
P020,2003 - pnnl,146,172,3.5.1.17  The subsystems  window shall list subsystems monitored for a specific building and  summarizing the current diagnostic status of all monitored subsystems.,3.5.1.39  The diagnostic indicators on the main window and subsystems window shall summarize  all diagnostic conditions associated with each entry in the window.,0.821,OVERLAP,OVERLAP,
P021,2010 - mashboot,40,43,A member should be able to delete a campaign 27.,A member should be able to delete existing content from supported services 30.,0.644,NO_CONFLICT,NO_CONFLICT,
P022,2001 - elsfork,83,87,Transfer of data  in the buffers shall be carried out without syn- chronism with real-time.,Transfer of data in  the buffers shall be carried out without synchronism with real-time.,0.902,OVERLAP,OVERLAP,
P023,2007 - puget sound,41,42,Priority: 2     3.4.1 An actor must be able to search through pages in a course.,"Actor s should be able to search for pages at the course level, since most actors will be searching  for material in a given course.",0.841,OVERLAP,OVERLAP,
P024,2005 - clarus low,16,317,ID Requirement  Source Allocation  - CAS Comment Criticality F-101 The Clarus  system shall  implement quality checking processes as soon as data become available.,ID Requirement  Source Allocation -  QChS Comment Criticality  F-162 The Clarus  system shall be  able to implement quality checking spatial tests using available data.,0.832,NO_CONFLICT,NO_CONFLICT,
P025,2003 - pnnl,6,97,The tool will store the results of diagnostics for subsequent  retrieval and use.,"3.2.3.6  The tool shall monitor the  unit under diagnosis, either in real time or batch mode, for an indefinite  period of time or until input data are no longer available, and log diagnostic results ",0.576,NO_CONFLICT,NO_CONFLICT,
P026,2005 - clarus low,3,108,"First, the participants will be able to share  collected environmental data  with Clarus .",F-245 The Clarus  system shall accept  environmental data from railroad vehicles.,0.546,OVERLAP,OVERLAP,
P027,2005 - clarus low,398,426,ID Requirement  Source Allocation Comment Criticality X-207 The Clarus  program shall  provide an environment that has uninterruptible power for the Clarus  system.,OCS     H  X-921 The Clarus  program shall  maintain information about service providers.,0.538,NO_CONFLICT,NO_CONFLICT,
P028,2007 - puget sound,71,73,"If notifications are turned off, actors in the capacity of student should be able  to subscribe to notifications.","They should also be able to manage their  notification subscriptions (for example, remove themselves from notifications).",0.54,OVERLAP,OVERLAP,
P029,2005 - clarus low,419,420,Inferred from ConOps  §2.5.7     L  X-821 Traffic management  personnel shall be able to use the Clarus  system to  obtain environmental conditions.,Inferred from ConOps  §2.5.3     L  X-823 Transit personnel shall be  able to use the Clarus   system to obtain environmental conditions.,0.947,OVERLAP,OVERLAP,
P030,2007 - puget sound,3,31,9  3.2.3  The system must store audio clips in a format conducive to speech.,3.2.3 The system must store audio clips in a format conducive to speech.,0.924,OVERLAP,OVERLAP,
P031,2005 - pontis,94,95,Pontis 5.0    Functional Requirements Specification v1 .0  7.7 The system shall be capable of recoveri ng the model if the elicitation process   fails.,"7.8 The system shall be capable of restorin g the previous action costs, transition   probab ilities , and preser vation polic y.",0.502,NO_CONFLICT,NO_CONFLICT,
P032,2005 - clarus low,3,8,"First, the participants will be able to share  collected environmental data  with Clarus .","2.2 System Functions   The Clarus  system will collect data from contributing members, organize and  quality check the data, and then publish the data for use by service providers and  other members o",0.583,OVERLAP,OVERLAP,
P033,2009 - peppol,142,179,Requirements: context specific data  • A VCD system MUST provide functionality to collect and process context specific data for  evidence that has to be provided manually or semi-automatically by the ,• The VCD system MUST provide a functionality that enables National VCD Service Providers to  store attestations.,0.668,OVERLAP,NO_CONFLICT,
P034,2005 - clarus low,31,163,F-213 The Clarus  system shall  allow access to new surface transportation-related environmental data.,ID Requirement  Source Allocation  - EMC Comment Criticality F-213 The Clarus  system shall allow  access to new surface transportation related observed  environmental data.,0.781,OVERLAP,OVERLAP,
P035,2005 - clarus low,250,301,"H-012 The Clarus  system data  definitions shall be consistent with the ITE TM 1.03 standard, Functional Level Traffic Management Data Dictionary (TMDD).",F-115 The Clarus  system shall  provide notification of data quality conditions to data contributors.,0.553,NO_CONFLICT,NO_CONFLICT,
P036,2006 - eirene sys 15,157,177,(M)  Physical conditions  6.4.3 SIM cards should be fixed into the radio to protect against accidental loss.,(M)  7.5.5 SIM cards shall be fixed into the radio such that they can only be removed by the use of  a tool.,0.793,OVERLAP,OVERLAP,
P037,2005 - clarus low,237,341,L  F-213J1 QEDS shall be able to  disseminate new observation types as they become available.,"7) QChS,  QEDS   H  P-024H1 All QChS shall be  completed within twenty minutes of data being available for checking.",0.513,NO_CONFLICT,NO_CONFLICT,
P038,2004 - watcom,6,20,"No te that cod e  gene rator should creat e the undefined symbol _GLOB AL_OFFSET_ TABLE_ , if R_386_GOTPC   encountere d.","At th is tim e,  _GLOB AL_OFFSET_ TABLE_  sym bol should be defined  as well.",0.585,OVERLAP,OVERLAP,
P039,2005 - clarus low,118,292,F-275 The Clarus  system shall accept  environmental data from emergency vehicles.,"ID Requirement  Source Allocation -  QChS Comment Criticality  F-100 The Clarus  system shall  collect, quality check, and disseminate environmental data.",0.587,OVERLAP,OVERLAP,
P040,2004 - watcom gui,86,87,gtk_list_append_items()  function should be used to perform the ope ration.,gtk_list_append_items()  function should be used to perform the ope ration.,1,OVERLAP,OVERLAP,
P041,2004 - watcom gui,86,88,gtk_list_append_items()  function should be used to perform the ope ration.,gtk_list_insert_items()  function should be used to perform the ope ration.,0.892,CONTRADICTION,NO_CONFLICT,
P042,2005 - clarus low,240,414,F-501 The Clarus  system shall  minimize the time for data dissemination.,"ID Requirement  Source Allocation Comment Criticality X-605 The Clarus  program shall  operate according to Government IT security requirements as outlined in OMB Circular A-130, Management of Federal",0.59,IMPLICIT,NO_CONFLICT,
P043,2006 - eirene sys 15,51,52,"(M)  Electrical  4.5.21 For determining battery requirements, the transmit/receive duty cycles used shall be  as shown in table 4-7 for each call type.",(M)  Page 52  PSA167D006-15       Call type Transmit Receive   Point-to-point call 100% 100%   Group call 30% 100%   Broadcast call (originated) 100% 100%*   Broadcast call (receive) 0% 100%   * Becau,0.687,CONTRADICTION,OVERLAP,
P044,0000 - gamma j,80,81,Actors:  Administrator  Weborder System    Preconditions:  Administrator must be able to access the weborder system via a web browser with HTTPS.,Actors:  Administrator  Weborder System    GAMMA-J Web Store   33   Preconditions:  Administrator must be able to access the weborder system via a web browser with HTTPS.,0.883,OVERLAP,OVERLAP,
P045,2010 - split merge,8,24, Output options : Here the user can define a pattern that will generate filenames  for the output files., Output options: Here the user can define a pattern that will generate filenames for the output files.,1,OVERLAP,OVERLAP,
P046,2001 - elsfork,65,73,The values shall be available for display on operator HMI as well as for stor- age (databases).,Counters  shall be available for display on operator HMI as  well as for storage (databases).,0.744,OVERLAP,OVERLAP,
P047,2010 - split merge,2,3,− Split every “n” pages : the input file will be split every “ n” pages.,− Split even pages : the input file will be split at every even page.,0.84,CONTRADICTION,NO_CONFLICT,
P048,2010 - split merge,4,6,− Split odd pages : the input file will be split at every odd page.,− Split at this size : the input file will be split in files of the given size (roughly) .,0.684,CONTRADICTION,NO_CONFLICT,
P049,2009 - peppol,120,296,• The transport of a VCD package MUST be initiated by the economic operator.,Thus  also the VCD should be able to be submitted thro ugh the PEPPOL infrastructure.,0.556,NO_CONFLICT,NO_CONFLICT,
P050,2001 - beyond,57,67,"If the au tomation thinks that for the current  situation a different pres entation may be more efficient, it may suggest an  adaptation that has to be agreed upon by the pilot.","Special interest will be given to the af orementioned issue that the adaptation should  leave the pilot in command, and should  be non-intrusive.",0.748,OVERLAP,NO_CONFLICT,
P051,2006 - eirene sys 15,138,179,(M)  5.7.17 The driver and other in-cab equipment shall be protected against all electrical hazards  arising from EIRENE mobile equipment as defined in [EN 50153].,Electrical  7.5.7 The Operational radio user shall be protected against all electrical hazards arising from  the mobile equipment as defined in [EN 50153].,0.69,OVERLAP,OVERLAP,
P052,2005 - pontis,28,40,The query will be ver ified by the applic ation and SQL errors will be re ported  to the user for co rrectio n.,The query will be ver ified by the applic ation and SQL errors will be re ported  to the user for co rrectio n.,1,OVERLAP,OVERLAP,
P053,2005 - clarus low,51,84,"ID Requirement  Source Allocation -  CAUI Comment Criticality F-100 The Clarus  system shall collect,  quality check, and disseminate environmental data.",F-200 The Clarus  system shall be able to  detect data submission errors.,0.524,OVERLAP,NO_CONFLICT,
P054,2009 - peppol,96,221,- The VCD package MUST provide a functionality to add tender-specific data to the VCD package  and VCD system (e.g.,Requirement  Any VCD system must have an interface to provide tender-specific data and (in particular the relevant  criteria subset) in order to perform the mapping.,0.732,OVERLAP,OVERLAP,
P055,2009 - peppol,99,333,- The VCD package MUST provide a functionality to add structural data of evidence to the VCD  package and VCD system (e.g.,"Based on the informat ion retrieved, the Austrian VCD implementation  will deliver a VCD package containi ng all the evidences that  are necessary to pr ove the selection and  qualification criteria r",0.59,NO_CONFLICT,NO_CONFLICT,
