brd_id,source_type,source_label,section,brd_sentence,source_snippet_1,source_snippet_2,annotator1_verdict,annotator2_verdict,annotator2_notes
sqRx9RkfySlMlfYixWUW,email,scott-s_msap_info,functionalReqs,"The system shall allow Business Units to peruse qualifications (resumes, career histories).",")

For the Business Units:
Search for Associate&Analyst talent using the Manager Toolbox
Peruse qualifications  (resumes, career histories)
Create and view rotation requests for your group
Learn about A&A Program events and activities
Participate in knowledge management events (eThink)

We hope that everyone will utilize this outstanding website because it was 
designed with both groups in mind.   We want the A&A members to know what is 
available for them with regard to business unit news and rotation 
information; and we want the business units to find the best match for their 
professional needs.   Check out all the features and help evaluate the 
content.   Let the Associate & Analyst Department know what you think and 
offer any ideas or suggestions.   Your input will be invaluable.",,SUPPORTS,,
f6QerxfeOUtmrqanfbUg,email,lokay-m_systems,successMetrics,Employees adhere to new mailbox size limits in the new environment by performing data housekeeping.,"Further=
,=20
it provides a more robust mail platform.  =20

To prepare for the migration effort, we advise that you take a few minutes =
to=20
do some data housekeeping.    As we move to the new environment, there will =
be=20
mailbox size limits enforced.   We encourage you to review your Notes folder=
s=20
to eliminate any unnecessary files.   Also, you might want to review your da=
ta=20
files, in both your work directory and any common directories you use, to=
=20
assure you still have a need for them.    As you review these files, you=20
should assure that you're retaining only business-related files. 

We look forward to this exciting, beneficial effort.   You will be receiving=
=20
more communications soon.",,PARTIALLY,,
vWsJUhMbOBV6ZerjNWVr,transcript,IS1000a,assumptions,The target audience desires trendy and original products.,"Um
B: We When you design a new product you of uh you of course want it to be original .  Be uh we want to be distinguished , mm ?  People uh want to uh when they look at the shelf want to think , well that's the product I I need .  So it needs to be trendy .  I mean trendy is what people want , so then I w they will buy our product .  But then , uh , it also should work uh user friendly and uh otherwise people uh uh well it will not be uh be rated very well in consumer uh articles and like that . 
B: So , the general outline of uh new project will be we first uh go through a functional design phase .  Um
B: You all get uh um certain task uh in this uh in this phase and uh
B: then we will meet again and uh discuss this functional design .",,SUPPORTS,,
XsltA1aoKFMDvQXBSFxa,transcript,ES2002b,successMetrics,Meet or exceed the specified signal transmission range.,"Um and that power source is important because it ties you down to um how long the device will last B: Uh-huh .  A: .  Um it ties you down perhaps a bit later on in terms of the technologies um how far you can transmit the signal or the complexity of the functions D: Mm-hmm A: that D: .  A: you want .  Like for example , voice recognition , right .  That might be constrained because that you might need to power a microphone , you might need to power other things , so that's one perhaps constraint there .  Um Th Okay , the basic thing is there's a user interface where people punch a button or talk into it or smile to it or blink their eyes , whatever B: Hmm .  A: .",,DOES_NOT_SUPPORT,,
migINRc0FZrlbIta1QQ9,email,beck-s_sap,successMetrics,Xref1 (coordinator) and Xref2 (physical vs. financial flag) fields will be accurately populated for go-live .,"As far as Xref1 (coordinator) and Xref2 (physical vs.  financial flag) fields 
go, it appears that we are getting what we have to have in order to go live 
7/1.   Rena was working on a spec (the OSS that was discussed) that would 
automatically populate these 2 fields.   However, the test was unsuccessful.   
These two fields are being opened up for netting, so we can input them 
manually when netting.   I believe we need to pursue the auto fill post 7/1, 
but the first priority is having a place to put the data. 

As far as settlement period is concerned, we are probably going to get a 
hybrid of what we want at this time.   The SAP team does appear to have 
appropriate resources working on this issue.",,PARTIALLY,,
f6QerxfeOUtmrqanfbUg,email,lokay-m_systems,successMetrics,All EOL processing is completed by 5:00 PM prior to the EOL Production Data Bases shutdown for power source addition.,"Please insure all 
processing is done by 5:00 pm today.   The Building Facilities group is adding 
additional power sources to the EOL equipment racks.   The EOL team plans to 
bring down the EOL Production Data Bases during this time period. 

Bob Martinez 
MN232. 
Importance: High

 

 It was created by Mai Nguyen.   The title of the project is EOL Power issue.   
The change number for the project is MN232.  

Impact:  EOL
Time:  Fri 2/2/2001 at  5:15:00 PM thru Fri 2/2/2001 at  8:00:00 PM
Outage:  EOL Power issue
Disruption:  Total Disruption of Service
Environments Impacted:  EOL
Purpose: Power Redundancy for EOL
Backout: 
Contact(s):  Mai Nguyen    
      
      
      
  
Document Link->

ETS Intranet Consolidation Project Updates (www. ETS. enron.",,SUPPORTS,,
sqRx9RkfySlMlfYixWUW,email,scott-s_msap_info,successMetrics,Originators successfully generate new business .,"However, a clear delineation of responsibilities inside the=
se=20
teams will continue to exist in which the trading organization will manage=
=20
the risk, income statement and product development aspects of the=20
partnership.  The originators will have the primary responsibility to genera=
te=20
origination income, provide coverage, deal flow, lead strategy formulation,=
=20
provide information and generate strategic positions.  Overall, the team wil=
l=20
be rewarded based upon increasing the value of the book, meeting=20
coverage/deal flow targets and meeting its strategic/growth goals in the=20
Eastern, Western, Central and Texas gas markets.   The team will be=20
responsible for covering the LDC=01,s, muni=01,s/co-ops, industrials, IOU=
=01,s, IPP=01,s=20
and the producers.",,PARTIALLY,,
WTlK8oZueIr7dJzUAYQC,email,hayslett-r_projects,nfrReqs,The system must allow access to Enron Email via Outlook Web Access (OWA) through the Internet without requiring users to dial into Enron's network.,"This means that if you can get on to the Internet, you can access your Enron Email with Outlook Web Access (OWA) without having to dial in to Enron's network.  Please note that this is not available to those users still on Lotus Notes but will be available once they are migrated to Outlook.  
Once on the Internet, type mail. enron. com in your browser address window and supply your Enron network logon credentials as username and password.  For example:
Username: jdoe4
Password: ********
Once you log in, Outlook Web Access opens your Enron Email mailbox.  Outlook Web Access (OWA) allows you to send and receive mail, perform calendar tasks and manage your mail and contacts, as well as access your mailbox folders.  At this time, Public Folders are not accessible via OWA.",,SUPPORTS,,
XsltA1aoKFMDvQXBSFxa,transcript,ES2002b,successMetrics,Successfully deliver a product appealing to the 15-35 age demographic.,"B: um just to recap on Are we all happy about the idea of um aiming the product at um the fifteen to thirty five bracket D: Yeah B: ?  Um D: , that's B: and D: good .  B: also the funct the the actual functions of what it's gonna do .  Do you wanna recap on that , Craig ?  C: Um .  I think we just say that it was gonna be the the most basic stuff possible .  Um on off , up and down channels , up and down volume and uh skip to a channel .  B: Okay C: Ta .  D: And B: , right D: is it going B: .  D: to include any of the uh the more advanced features , or are we gonna eliminate those C: Um D: ?  C: I think we include mute , but apart from that um I think we just we'll go for the simpleness .  D: Okay B: Okay A: Okay B: .  D: .",,PARTIALLY,,
migINRc0FZrlbIta1QQ9,email,beck-s_sap,assumptions,The system will provide increased flexibility for charging employee and contractor time to actual work areas.,"Timekeeping, though it seems mundane on the surface, is a focal point of the 
SAP integration.   Entry and coding of time populates not just payroll, but 
projects and cost centers, real time.   We will now have more flexibility to 
charge employee and contractor time to the areas they actually work (where 
people work on more than one area at a time).   This will only happen to the 
extent that the business and cost center owners drive it.   This capability is 
customizable not just by business unit or company, but by cost center within 
a company. 

To make this work HOW YOU WANT IT TO on 7/1, each ""organizational unit"" (as I 
said above, you can drive this in your cost center(s) only or across your BU) 
needs to be clear on questions such as:

1.",,SUPPORTS,,
