Requirement,Name of Doc,Req/Not Req,Req/Not Req
The solution will allow the Process Analyst process integration abilities.,Tool Requirements,1,yes
The tool should have the ability to present complex models in different layouts for different stakeholders,Tool Requirements,1,yes
"The tool should have the ability to send users a link that will take them to specific documents within the repository: Ability to have one enabler used multiple times across different processes, Ability to track changes/version control, Integration with Active Directory, Single Sign On, Role based access, Data analytics capabilities.",Tool Requirements,1,yes
"The solution shall provide the capability to migrate current processes content (process maps, documents, enablers, etc.) from the current, interim solution.",Tool Requirements,1,yes
The tool should provide sufficient character space for titles or names,Tool Requirements,1,yes
"The tool needs to support any naming or numbering formats
",Tool Requirements,1,yes
Personalised navigation – ability to View 'Processes I own’ along with favourites to help you personalise your use.,Tool Requirements,1,yes
"Considering the challenges facing the ACME Group through the increasing competitive pressure, with increasing customer and regulatory requirements, we need to continuously increase our efficiency in the Product Development Process in order to stay competitive",RFI_SE ver1.0 final,0,no
"Looking at our current engineering practices, that are very much hardware component driven, we want to be more pro-active (up-front system design). ",RFI_SE ver1.0 final,0,no
"Furthermore, the ever increasing complexity of our products makes it necessary to always improve our current engineering practices where needed, for instance to have better control of our Product Families.",RFI_SE ver1.0 final,0,no
"Since we have a commitment to efficiently develop and offer superior products exceeding our customers’ expectations, upfront development and Systems Engineering is a key mechanism, see Figure 1.",RFI_SE ver1.0 final,0,no
"In this RFI, the following fields of Systems Engineering expertise will be in focus: Stakeholder Requirements Management, Requirements Management, Systems Architecture and Design (MBSE), Requirements driven Verification and Validation. ",RFI_SE ver1.0 final,0,no
"However, surrounding fields of expertise, e.g. Systems Analysis and general support processes (e.g. report & measurements, Configuration Management), is also of interest.",RFI_SE ver1.0 final,0,no
"The next step for ACME is to start practicing Model Based Systems Engineering, MBSE.",RFI_SE ver1.0 final,0,no
"Systems Engineering within ACME is today very requirements driven but now it is time to start looking at MBSE with support of standard general-purpose modeling language (e.g. SysML, UML and IDEF).",RFI_SE ver1.0 final,0,no
When describing our capabilities we have used a definition “work item”. ,RFI_SE ver1.0 final,0,no
A work item is a single unit or object in the tool that all can build up structures or contain structures. ,RFI_SE ver1.0 final,0,no
"The different types of work items can be e.g. requirements, system elements, system structures, test cases, documents, etc.",RFI_SE ver1.0 final,0,no
The ACME Group has initiated a project to evaluate Systems Engineering tool sets in order to make a proposal to replace the current scattered tool environment used within the ACME Group. ,RFI_SE ver1.0 final,0,no
"The new tool set shall be used, in long term, as a global solution for the ACME Group. ",RFI_SE ver1.0 final,1,yes
The ACME Group hereby invites your company to give a proposal on a Systems Engineering tool environment according to this RFI. ,RFI_SE ver1.0 final,0,no
Thank you for your time and diligence.,RFI_SE ver1.0 final,0,no
"In order to propose your System Engineering tool set and to participate in our evaluation, please respond to this RFI by January 15th - 2011 at 6 pm CET. ",RFI_SE ver1.0 final,1,yes
You will then be informed whether or not you are invited to participate in following detailed evaluations. ,RFI_SE ver1.0 final,0,no
Only responses that are 100% complete will be considered,RFI_SE ver1.0 final,0,no
IT Purchasing is responsible for the commercial relations towards Suppliers. ,RFI_SE ver1.0 final,0,no
As such ACME Group Global IT Purchasing holds the Purchasing power and mandates for authorization to reach Commercial Agreements. ,RFI_SE ver1.0 final,0,no
IT Purchasing function is serving all ACME Group Business Areas / Units.,RFI_SE ver1.0 final,0,no
"A working group, with members from all Business Areas/Business Units involved, has been set up to investigate available solutions on the market and recommend a tool set for SE. ",RFI_SE ver1.0 final,0,no
Hence we are now starting this evaluation process by issuing this RFI.,RFI_SE ver1.0 final,0,no
IT Purchasing’s commission is to execute a Master/ Frame Agreement with one or more vendors and applications from their portfolios possible to use for The ACME Group. ,RFI_SE ver1.0 final,0,no
Supplier’s proposal will be of vital importance for working out a common platform strategy,RFI_SE ver1.0 final,1,yes
In this RFI document you will find necessary data and information. ,RFI_SE ver1.0 final,0,no
"You are welcome to post any questions via e-mail or telephone, to the contact persons stated in this RFI, we will respond to the entire Supplier group.",RFI_SE ver1.0 final,0,no
All information in this RFI is confidential as well as all documentation received by ACME Global IT Purchasing. ,RFI_SE ver1.0 final,0,no
This RFI will be distributed to a selection of potential suppliers. ,RFI_SE ver1.0 final,0,no
"All RFI responses, received up to and including the Closing Date, will be considered valid. ",RFI_SE ver1.0 final,0,no
"ACME reserves the right to exclude, from the evaluation process, any RFI response received after the stated Closing Date as set in the table below",RFI_SE ver1.0 final,0,no
ACME reserves the right to discontinue the RFI process at any time without liability.,RFI_SE ver1.0 final,0,no
"In addition, ACME makes no commitments, expressed, implied or otherwise, that this RFI process will result in a business continuance with one or more suppliers",RFI_SE ver1.0 final,0,no
"All RFI responses, once received, will become the property of ACME. ",RFI_SE ver1.0 final,0,no
"The response shall be submitted in English, original to be sent by mail and a copy by e-mail. ",RFI_SE ver1.0 final,0,no
"The Supplier submitting the RFI response must clearly and with no ambiguity, identify the legally registered company name and address of the said company as well as signed and dated",RFI_SE ver1.0 final,0,no
"According to the RFI responses, questions can be raised by ACME. ",RFI_SE ver1.0 final,0,no
Therefore the suppliers are requested to submit a list of references for this purpose and to be available to liaise for relevant interviews,RFI_SE ver1.0 final,0,no
Receivers of this RFI are asked to confirm the receipt of this RFI by written acknowledgement no later than the date specified in Time Table. ,RFI_SE ver1.0 final,0,no
In order to discuss answers and clarify ambiguities ACME will contact supplier and invite to a telephone conference.,RFI_SE ver1.0 final,0,no
ACME shall not be held liable for any costs whatsoever incurred by the Supplier in order to prepare information relevant to the participation in this RFI. ,RFI_SE ver1.0 final,0,no
No documents or CD / DVDs will be returned,RFI_SE ver1.0 final,0,no
"This RFI requires that all products and/or functionality expressed in the responses to this RFI, are generally available from the Supplier (or his subcontractors) for a period of at least six months. ",RFI_SE ver1.0 final,0,no
"If the Supplier wishes to set forth a product and/or function that does not match this description (product under development, for example) this has to be clearly expressed in the responses, including an explanation why it is considered to have a better potential for ACME.",RFI_SE ver1.0 final,0,no
"The following general categories within the RFI process will be examined and evaluated: Strategic capabilities, for example:
The Supplier’s financial situation, The Supplier’s company structure, The Market presence and reputation, The Service and quality of service, The Supplier’s acceptance of ACME’s Terms and Conditions, The Supplier’s flexibility to react to urgent needs and requirements, Strategic Partnerships.",RFI_SE ver1.0 final,1,yes
"Suppliers ability to support needed Systems Engineering capabilities, for example: Stakeholder Requirements Management, Requirements Management, System Architecture and Design (MBSE), Develop alternatives / robust concept selection, Requirements Verification and Validation, Configuration / Change Management of work items, Support for project management & metrics, Support for Product Family engineering, Global operation, Compliance to IS/IT Solution Architectural criteria. for exmple: System Requirement, Client/web access, Database solutions, Functional capabilities of tool environments, for example: The Supplier’s ability to deliver according to our requirements, The Technological and functional capacity to implement and fulfill any given requirements,No specific adaptions, out of the box solution, Total Cost of ownership, for example: Investment and Running Cost",RFI_SE ver1.0 final,1,yes
"During the evaluation process, the above categories may be further subdivided and individually weighted",RFI_SE ver1.0 final,0,no
"Suppliers selected, after screening RFI responses, will have the possibility to make one presentation of their proposal/system, including demo.",RFI_SE ver1.0 final,1,yes
The Supplier will provide all material used to produce the presentation.,RFI_SE ver1.0 final,1,yes
Each supplier’s presentation will be held separately and attended by Supplier and ACME’s project team.,RFI_SE ver1.0 final,0,no
"Once the presentation is done, all backup material shall become ACME ´s property.",RFI_SE ver1.0 final,0,no
"Submitted information that is found to be inaccurate, miss-guiding or delivered later than the date specified in Time Table, will lead to a disqualification in the evaluation process.",RFI_SE ver1.0 final,1,yes
This project will not only look for a single vendor/tool solution. ,RFI_SE ver1.0 final,0,no
The preferred solution can include several integrated tools and even vendors.,RFI_SE ver1.0 final,1,yes
"To facilitate and expedite a fair evaluation process, all correspondence and queries pertaining to this RFI and any associated response shall be submitted in English, directly and only to the contact persons as specified below.",RFI_SE ver1.0 final,0,no
"The executive summary, in Appendix A, shall serve ACME Information Technology with the key elements and unique features of the proposal and shall contain the following. ",RFI_SE ver1.0 final,0,no
For the evaluation process we request you to supply us with relevant information about your company or the relevant business area of your company and if applicable your partners,RFI_SE ver1.0 final,0,no
"The questionnaire, in Appendix B, contains sub sections to provide information about vendor company contacts, give a brief presentation of the company and the marketplace and to inform about available products and services. ",RFI_SE ver1.0 final,0,no
Text entries within << >> signs are examples that should be replaced with vendor specific information,RFI_SE ver1.0 final,0,no
"The high level requirements, in Appendix C, contain requirements needed to support Systems Engineering within AB ACME.",RFI_SE ver1.0 final,0,no
Please make sure to minimize the amount of attached documents and presentations and only provide material relevant for assessing requested information,RFI_SE ver1.0 final,0,no
These recommendations are intended to enable the supplier to provide a deployable solution in ACME infrastructure. ,RFI MBSW IT Technical requirements V1.0,0,no
These recommendations include a questionnaire to which the supplier must answer.,RFI MBSW IT Technical requirements V1.1,0,no
Particular attention will be given to the study of the responses providers by solution vendors. ,RFI MBSW IT Technical requirements V1.2,0,no
Any non-complete response shall be deemed not answered. ,RFI MBSW IT Technical requirements V1.3,0,no
"If the provider has already implemented even partially components for ACME, response to RFI should not only reference documents related to this implementation. ",RFI MBSW IT Technical requirements V1.4,0,no
The supplier must fully detail his answer in the deliverables.,RFI MBSW IT Technical requirements V1.5,0,no
Supported hardware Server components must run on hardware supported by the ACME platform. ,RFI MBSW IT Technical requirements V1.6,1,yes
"Recommended platforms are Linux RedHat 6.5, Windows 2012 R2. ",RFI MBSW IT Technical requirements V1.7,1,yes
"Alternatives but not recommended are HP Itanium, Solaris 10 or Windows 7. ",RFI MBSW IT Technical requirements V1.8,1,yes
The supplier shall detail the supported hardware platform per component.,RFI MBSW IT Technical requirements V1.9,0,no
"If the solution does not have a proprietary database it shall support one the following databases, Oracle, MySQL, Postgres (preferred) possibly SQL Server.",RFI MBSW IT Technical requirements V1.10,1,yes
ACME versions are: MySQL 5.5. ,RFI MBSW IT Technical requirements V1.11,1,yes
Detail whether alternative versions are required. ,RFI MBSW IT Technical requirements V1.12,0,no
MySQL runs on RedHat Linux 5.6.,RFI MBSW IT Technical requirements V1.13,1,yes
Recommended ACME versions are: Oracle Standard Edition 11gr2 or 10.2.0.4. ,RFI MBSW IT Technical requirements V1.14,1,yes
Detail whether alternative versions are required. ,RFI MBSW IT Technical requirements V1.15,0,no
Oracle runs on RedHat Linux 6.x.,RFI MBSW IT Technical requirements V1.16,1,yes
"Supported SQL Server databases Recommended ACME versions are: SQL Server 2012, R2 Edition standard or Enterprise. ",RFI MBSW IT Technical requirements V1.17,1,yes
Detail whether alternative versions are required. ,RFI MBSW IT Technical requirements V1.18,0,no
"If the provider uses its own database technology, hardware requirements must be specified. ",RFI MBSW IT Technical requirements V1.19,0,no
It will run on the hardware platform supported at ACME. ,RFI MBSW IT Technical requirements V1.20,1,yes
ACME runs VMWare 5.1U1 (today) or 5.1U3. ,RFI MBSW IT Technical requirements V1.21,1,yes
"For its emulation CITRIX, ACME uses XenApp 6 or 7.6 server running Windows 2008 R2 or Windows 2012 R2 to emulate Windows 7. ",RFI MBSW IT Technical requirements V1.22,1,yes
The solution must ensure that it is possible to have multiple concurrent client instances with different users connected on the same Windows server. ,RFI MBSW IT Technical requirements V1.23,1,yes
"The provider must specify whether its fat clients are Citrix solution and the number of simultaneous sessions per core as possible, Citrix Citrix server supports. ",RFI MBSW IT Technical requirements V1.24,1,yes
Specify the CPU core power sized.,RFI MBSW IT Technical requirements V1.25,0,no
"If the server components are running on an application server, detail the technology and components. ",RFI MBSW IT Technical requirements V1.26,0,no
"The application platform is JBoss ACME running RedHat Linux 5.6, JBoss 6.2 or 6.3 running Linux 6.4 ",RFI MBSW IT Technical requirements V1.27,1,yes
"If an alternative technology is used, the provider must describe in detail. ",RFI MBSW IT Technical requirements V1.28,0,no
"At best, the solution provider must be fully compatible with an authorized ACME combination of J2EE application server, database and the associated operating system. Ex: Server J2EE JBoss5.1 under REDHAT 5.6 with MSQL data base in REDHAT 5.1 5.6 ",RFI MBSW IT Technical requirements V1.29,1,yes
At least the solution provider must be installed on one proposed by ACME operating systems. ,RFI MBSW IT Technical requirements V1.30,1,yes
These operating systems have been optimized to meet the security requirements for access DMZ. ,RFI MBSW IT Technical requirements V1.31,1,yes
"If compatibility is limited to that of the operating system, the solution provider will be considered ""black box"" Maintaining J2EE components of the solution should be provided by the supplier. ",RFI MBSW IT Technical requirements V1.32,1,yes
The supplier shall specify if it offers this level of support.,RFI MBSW IT Technical requirements V1.33,1,yes
ACME recommends a Windows 7 64-bit platform. ,RFI MBSW IT Technical requirements V1.34,1,yes
The version number may change when the project is deployed. ,RFI MBSW IT Technical requirements V1.35,1,yes
"The supplier must detail the recommended configuration (RAM, hard drive size, processor speed). ",RFI MBSW IT Technical requirements V1.36,1,yes
The solution will run on ACME extensions called ACE 1 and ACE 3D with Windows Seven. ,RFI MBSW IT Technical requirements V1.37,1,yes
These positions are based on 64-bit Windows 7 and Office 2010 pack ,RFI MBSW IT Technical requirements V1.38,0,no
"In case of asynchronous messaging with ACME application, the solution should be able to send or receive messages MQ Series. ",RFI MBSW IT Technical requirements V1.39,1,yes
Supported by the ACME version is 7.0.,RFI MBSW IT Technical requirements V1.40,1,yes
The solution should be able to call one described by a WSDL file supplied by ACME Web service.,RFI MBSW IT Technical requirements V1.41,1,yes
Summon a secure Web Service ,RFI MBSW IT Technical requirements V1.42,0,no
The solution should be able to call a Web service protected by a certificate of authentication client or basic authentication. ,RFI MBSW IT Technical requirements V1.43,1,yes
The certificate used to authenticate the client call can be provided by a public key infrastructure managed by ACME.,RFI MBSW IT Technical requirements V1.44,1,yes
"If the solution offers web services, it needs to describe them.",RFI MBSW IT Technical requirements V1.45,1,yes
If the integrity solution RESTful services. These services should be described.,RFI MBSW IT Technical requirements V1.46,1,yes
Format for Describing Web Services provided The Solution Provider shall indicate whether the web service provided a description file in WSDL format.,RFI MBSW IT Technical requirements V1.48,1,yes
"Securing Web services provided The Solution Provider shall indicate whether the Web services provided can be authenticated signed, encrypted. ",RFI MBSW IT Technical requirements V1.49,1,yes
"For authentication to the web service, the provider must indicate the authentication mechanisms available (basic authentication, user of a server certificate, joint use of a server certificate and a client certificate etc). ",RFI MBSW IT Technical requirements V1.50,1,yes
"If encryption or signature web service messages, the provider must specify the encryption mechanism available especially if the WS-Security standard is supported.",RFI MBSW IT Technical requirements V1.51,1,yes
The Solution Provider must support the Axway CFT solution. ,RFI MBSW IT Technical requirements V1.52,1,yes
"We ask vendors to summarize in no more than 5 sentences the recovery process for each of the following scenarios though of course these scenarios correspond to when using the product: Server database, Application server, Error Full Text Indexing, Web Server, Interruption of the application server, Fault on the file server, Error in contents of the database, Error in full Text Indexing file",RFI MBSW IT Technical requirements V1.53,1,yes
"The response time access to data streams (3D content, 2D) must be uniform throughout the world.",RFI MBSW IT Technical requirements V1.54,1,yes
"If, to achieve this objective, the solution should include mechanisms for replication streams on multiple sites (ACME like Romania or Brazil) the solution should be detailed.",RFI MBSW IT Technical requirements V1.55,1,yes
"Element solution to specify: When replication is initiated (on demand or anticipated), Can it be filtered according to the location of the site, content criteria or by access-related profile, If content criteria, the nature of the content criteria: attributes, location inside the organization database.",RFI MBSW IT Technical requirements V1.56,1,yes
The Solution Provider must ensure its compatibility with the technologies of data transfer (CFT and MQ) and detail a technical solution for the integration of two technologies The publisher must detail its solution elements in the answer.,RFI MBSW IT Technical requirements V1.57,1,yes
The Solution Provider must ensure that there is no degradation of response time caused by internal batch processing to the solution (full text indexing) or external (data transfer with other ACME IT systems).,RFI MBSW IT Technical requirements V1.58,1,yes
The supplier must detail whether data integrity check and repair tools are available and what are the features offered by these tools,RFI MBSW IT Technical requirements V1.59,1,yes
The Supplier shall indicate whether command-line tools are available to start and stop each server application component.,RFI MBSW IT Technical requirements V1.60,1,yes
"The provider must specify the data to be stored (databases, full text indexing, RSS replicated if more data to be stored), the order of safeguards to ensure a consistent backup, possible additional backup steps to ensure the entire backup. ",RFI MBSW IT Technical requirements V1.61,1,yes
The provider must specify whether the backup can be performed while the application is stopped. ,RFI MBSW IT Technical requirements V1.62,1,yes
"The provider must specify the data to be restored (database, full-text index, RSS replicated if other data should be saved), the order of restoration ensuring consistency of food, possible additional steps to safeguard guarantee the complete restoration",RFI MBSW IT Technical requirements V1.63,1,yes
"In case of a major outage, an event should be traced. ",RFI MBSW IT Technical requirements V1.64,1,yes
At least logs must be written in an easily identifiable location.,RFI MBSW IT Technical requirements V1.65,1,yes
"When using Windows Server technology, whether the Windows event system will be used",RFI MBSW IT Technical requirements V1.67,1,yes
"The log should be stored in an easily identifiable and parseable format .Optionally, the format should be configurable. ",RFI MBSW IT Technical requirements V1.69,1,yes
Log management should be consistent between the different components.,RFI MBSW IT Technical requirements V1.70,1,yes
"In the best case, the supplier uses SNMP to send an alert and provide access to indicators on the activity of the components. ",RFI MBSW IT Technical requirements V1.73,1,yes
"At a minimum, key alerts on the availability of the solution are written to a log file in a readily parsable format. ",RFI MBSW IT Technical requirements V1.74,1,yes
"The format of the log should contain: Critical Level Message, Message ID, Message text.",RFI MBSW IT Technical requirements V1.75,1,yes
The provider must specify indicators reassembled by its monitoring tools. ,RFI MBSW IT Technical requirements V1.78,1,yes
Does the application has a management console and / or administration? ,RFI MBSW IT Technical requirements V1.79,0,no
"Level of functionality offered: Ability to check if the software components are available (""ping application""), Monitoring of system activities and components Access indicators of system activity (number of active sessions, memory usage, etc....)",RFI MBSW IT Technical requirements V1.80,0,no
Does the application uses a license server for these server components? ,RFI MBSW IT Technical requirements V1.84,0,no
Does the software uses a standard technology (eg FlexLM) or a proprietary technology?? ,RFI MBSW IT Technical requirements V1.86,0,no
Does the batch processing are managed with an internal scheduler or can it use an external scheduler like Autosys.,RFI MBSW IT Technical requirements V1.88,0,no
Are the password and user ID encrypted into exploitation tools?,RFI MBSW IT Technical requirements V1.90,0,no
Supplier must indicate if tools are available to import / export content or configuration between environments (eg change the configuration to test production environments). ,RFI MBSW IT Technical requirements V1.91,1,yes
"For each tool, the supplier must specify what data is imported or exported, the filtering level (all data, filtered data), format (XML-based file-based, multi file or single file) and the procedure associated.",RFI MBSW IT Technical requirements V1.92,1,yes
Server component should run on ACME hardware supported platform. ,RFI MBSW IT Technical requirements V1.93,1,yes
ACME recommended platform are RedHat Linux 6.5 (preferably) or Windows 2012 R2. ,RFI MBSW IT Technical requirements V1.94,1,yes
Alternative but not recommended hardware are Solaris 10 or HP Itanium or Windows 7. ,RFI MBSW IT Technical requirements V1.95,1,yes
Supplier must detail supported hardware platform per component. ,RFI MBSW IT Technical requirements V1.96,1,yes
Server graphical card requirements. ,RFI MBSW IT Technical requirements V1.97,0,no
"ACME is using blade installation in its datacenter, thus Windows 2008 or 7 server with no graphic card, Open GL being supported by Software emulation. ",RFI MBSW IT Technical requirements V1.98,1,yes
"Thus, if supplier is requiring for some server component (3D converter for instance) a specific graphic card with a hardware OpenGL support, the required graphic card must be detailed. ",RFI MBSW IT Technical requirements V1.99,1,yes
ACME strongly encourage vendor to get rid of this hardware requirement. ,RFI MBSW IT Technical requirements V1.100,1,yes
Client hardware support for ACME Intranet Access. ,RFI MBSW IT Technical requirements V1.101,0,no
Clients component should run on ACME hardware supported platform. ,RFI MBSW IT Technical requirements V1.102,1,yes
ACME recommended platform are Windows 7 64 bits version. ,RFI MBSW IT Technical requirements V1.103,1,yes
Current supported version is XX. ,RFI MBSW IT Technical requirements V1.104,1,yes
Version number may evolve when project will be deployed. ,RFI MBSW IT Technical requirements V1.105,1,yes
"Supplier should detail recommended configuration (RAM, hard disk size, CPU frequency). ",RFI MBSW IT Technical requirements V1.106,1,yes
Please detail recommended Client desktop RAM memory size.,RFI MBSW IT Technical requirements V1.107,1,yes
Please detail recommended Client desktop hard disk size.,RFI MBSW IT Technical requirements V1.108,1,yes
Please detail recommended Client desktop recommended CPU (frequency). ,RFI MBSW IT Technical requirements V1.109,1,yes
"In case of ACME Intranet Web access, ACME Intranet user will run on Internet Explorer 11.0. ",RFI MBSW IT Technical requirements V1.110,1,yes
"Please indicate minimum version for supported web navigator (Internet Explorer, Firefox etc...). ",RFI MBSW IT Technical requirements V1.111,1,yes
List of additional software to be installed on the client workstation. ,RFI MBSW IT Technical requirements V1.112,0,no
"For each additional software, detail version number. ",RFI MBSW IT Technical requirements V1.113,1,yes
"For instance, Java Runtime environment, MSXML. ",RFI MBSW IT Technical requirements V1.114,0,no
dotNet may be included in such additional software. ,RFI MBSW IT Technical requirements V1.115,1,yes
"Is solution is requiring no proprietary database, it should support Oracle, PostGres (preferably), possibly but not recommended SQL Server. ",RFI MBSW IT Technical requirements V1.116,1,yes
Recommended version at ACME are: Oracle 11.1.0.7.0 or 10.2.0.4. ,RFI MBSW IT Technical requirements V1.117,1,yes
Supplier should detail supported database technology. ,RFI MBSW IT Technical requirements V1.118,1,yes
Recommended version at ACME are: MySQL 5.5. ,RFI MBSW IT Technical requirements V1.119,1,yes
Please detail if alternative versions are required. ,RFI MBSW IT Technical requirements V1.120,1,yes
MySQL will run on RedHatLinux 6.x. ,RFI MBSW IT Technical requirements V1.121,1,yes
Recommended version at ACME are: Oracle standard edition 11.1.0.7.0 or 10.2.0.4. ,RFI MBSW IT Technical requirements V1.122,1,yes
Please detail if alternative versions are required. ,RFI MBSW IT Technical requirements V1.123,1,yes
MySQL will run on RedHat Linux 6.x. ,RFI MBSW IT Technical requirements V1.124,1,yes
Recommended version at ACME are: SQL Server 2012 standard Edition R2. ,RFI MBSW IT Technical requirements V1.125,1,yes
Please detail if alternative versions are required. ,RFI MBSW IT Technical requirements V1.126,1,yes
"If supplier is using its own database technology, detail hardware requirements. ",RFI MBSW IT Technical requirements V1.127,1,yes
It should run on supported ACME Hardware platform. ,RFI MBSW IT Technical requirements V1.128,1,yes
"If server components can be virtualized, please detail. ",RFI MBSW IT Technical requirements V1.129,1,yes
ACME is currently virtualizing using VMWare ESX 5.1U1 (today or 5.1U3 (one year target).,RFI MBSW IT Technical requirements V1.130,1,yes
Thick clients’ component may be installed on Citrix infrastructure for ACME partner access. ,RFI MBSW IT Technical requirements V1.131,1,yes
"For Citrix emulation, ACME is using XenApp 6 or XenApp 7.5 emulating Windows 2008 R2 or Windows 2012 R2 server or Windows 7 desktop.",RFI MBSW IT Technical requirements V1.132,1,yes
The supplier must ensure if it is possible to have multiple simultaneous client instances with different users running on the same Windows servers. ,RFI MBSW IT Technical requirements V1.133,1,yes
"If server component is running on an applicative server, detail technology and component. ",RFI MBSW IT Technical requirements V1.134,1,yes
ACME applicative supported platform are Jboss 5.1 running under RedHat Linux 5.6. ,RFI MBSW IT Technical requirements V1.135,1,yes
"If alternative technology is used, supplier should detail. ",RFI MBSW IT Technical requirements V1.136,1,yes
"At best, supplier solution should fully be compatible with a complete component combination (compatibility of J2EE applicative and database version with associated compatible operating system). ",RFI MBSW IT Technical requirements V1.137,1,yes
"At least, supplier solution should be installable on one of ACME proposed Operating Systems. ",RFI MBSW IT Technical requirements V1.138,1,yes
These operating system have been optimized in order to fulfill security requirements for DMZ access.,RFI MBSW IT Technical requirements V1.139,1,yes
"In case of operating system only compatibility, supplier solution will be considered as “black box”; the maintenance of underlying “standard component” as J2EE server should be granted by supplier. ",RFI MBSW IT Technical requirements V1.140,1,yes
Solution vendor must detail if he offers such support.,RFI MBSW IT Technical requirements V1.141,1,yes
Please detail if solution vendor tool should be accessible from ACME Intranet.,RFI MBSW IT Technical requirements V1.142,1,yes
Please detail if Vendor solution could be accessible from ENX network ,RFI MBSW IT Technical requirements V1.143,1,yes
Intranet user authentication from solution deployed inside ACME. ,RFI MBSW IT Technical requirements V1.144,0,no
Supplier should detail if solution vendor should use LDAP Intranet Directory.,RFI MBSW IT Technical requirements V1.145,1,yes
"Please detail if ENX authorized protocols are supported between client desktop and ACME ENX DMZ - HTTP/ HTTPS - SOAP with or without WS-Security - CFT (transactional file transfer protocol, concurrent technology with FTP) - MQ Series - ICA over HTTPS (Citrix emulation) - SQL Net Oracle (not recommended)",RFI MBSW IT Technical requirements V1.146,1,yes
"By default, no other protocols are allowed. ",RFI MBSW IT Technical requirements V1.147,1,yes
"Thus license protocols like FlexLM, NAS protocols like (CIFS or NFS) are not allowed. ",RFI MBSW IT Technical requirements V1.148,1,yes
"ENX Web URL rewriting is supported In case of web access, the reverse proxy at ENX DMZ is rewriting application URL. ",RFI MBSW IT Technical requirements V1.149,1,yes
If URL access inside ACME Intranet is: http://myApplication.intran.ACME.com/MyRootFolder/MyPage.jsp ,RFI MBSW IT Technical requirements V1.150,1,yes
The client Web access is using URL http://myENXDNS.ACME.enxo.org/MyENXPrefix/MyRootFolder/MyPage.jsp ,RFI MBSW IT Technical requirements V1.151,1,yes
Please detail filtered ENX Citrix Access rules ,RFI MBSW IT Technical requirements V1.152,1,yes
Rich client deployed on ENX Citrix farms have limited filtered access to ACME Intranet (only on fixed ports which must be known). ,RFI MBSW IT Technical requirements V1.153,1,yes
"Vendor should supply list of required ports to access to server components (HTTP, license port etc..., network file access protocols). ",RFI MBSW IT Technical requirements V1.154,1,yes
"In case of dynamic or not fixed range port, vendor must specify. ",RFI MBSW IT Technical requirements V1.155,1,yes
"By default, Citrix farm have no access to NFS or CIFS file storage. ",RFI MBSW IT Technical requirements V1.156,1,yes
Detail if ciphering transport network protocol is supported. ,RFI MBSW IT Technical requirements V1.157,1,yes
Solution vendor should support ciphering of network protocol exchange between client and server component. ,RFI MBSW IT Technical requirements V1.158,1,yes
Security mechanisms provided by solution must handle strong encryption using client certificate installed on client desktop. ,RFI MBSW IT Technical requirements V1.159,1,yes
